BAS_DD,k_ratio,k_score,atr,natr,atr_percentile,technical_direction
2023-12-07,0.48927230767298185,0.3285311256726983,0.2868137197972028,0.001543752192245023,0.9244132180358245,0.3285311256726983
2023-12-08,0.5174388430762418,0.3409948581698747,0.2877555969545463,0.0015463248801899417,0.9251968503937008,0.3409948581698747
2023-12-09,0.5452304970663953,0.3528473571428405,0.2686301971720794,0.0014433947513410317,0.9094627971596172,0.3528473571428405
2023-12-10,0.5727408269822337,0.36416732951557285,0.2508708973740724,0.0013478262363620717,0.8929618768328446,0.36416732951557285
2023-12-11,0.6031052990398577,0.37621065777842133,0.2593801189902104,0.001396318470016206,0.902391975308642,0.37621065777842133
2023-12-12,0.6410222228619173,0.39062373070364914,0.26728153906233854,0.0014359938702108125,0.9079617343002623,0.39062373070364914
2023-12-13,0.6776095113193504,0.40391372768651435,0.26533285770074355,0.0014236886714639886,0.9061246528849121,0.40391372768651435
2023-12-14,0.715709145780825,0.4171506269234832,0.3799519392935479,0.0020184442163915634,0.9790991824772481,0.4171506269234832
2023-12-15,0.7502448225552749,0.42865135944807586,0.3892410864868673,0.002073409079459156,0.9837291795188156,0.42865135944807586
2023-12-16,0.785137468116486,0.43981905155175044,0.36286672316637747,0.001932712240566591,0.9735543562066307,0.43981905155175044
2023-12-17,0.8204915567936192,0.450697809463466,0.3376619572259213,0.0017983700320937438,0.9630743139068764,0.450697809463466
2023-12-18,0.850068174381567,0.45947937819411666,0.32425753170978444,0.001725600190036637,0.9535224294743333,0.45947937819411666
2023-12-19,0.880045278851801,0.4680979169763776,0.3132391365876582,0.0016654569150768724,0.9445900123304563,0.4680979169763776
2023-12-20,0.9137433402726776,0.47746389029496705,0.3094363411171105,0.0016429666619789238,0.9412081984897519,0.47746389029496705
2023-12-21,0.9396008171717607,0.4844299965504473,0.29876231675160236,0.0015876411773387308,0.9316640986132512,0.4844299965504473
2023-12-22,0.9718842030609337,0.49287082961174333,0.2838507226979167,0.0015076789860196352,0.9185795717146819,0.49287082961174333
2023-12-23,1.0047779601934992,0.5011916432364006,0.2650042425052071,0.001407426005126173,0.9021102895871842,0.5011916432364006
2023-12-24,1.0383315880251676,0.5094026870432561,0.24678965375483655,0.0013106195101159667,0.8845679963037116,0.5094026870432561
2023-12-25,1.0675488209770094,0.5163354839053061,0.23059039277234694,0.0012244604543986137,0.8701108715737604,0.5163354839053061
2023-12-26,1.093768725016163,0.5223923310860036,0.22769107900289343,0.0012078461567179113,0.8665896843725943,0.5223923310860036
2023-12-27,1.1251715204211885,0.5294497454013454,0.23071314478840174,0.0012221270515330107,0.8695350985221675,0.5294497454013454
2023-12-28,1.1603423796692387,0.5371104092523029,0.2649479201606593,0.0013982158433725226,0.9008003694012621,0.5371104092523029
2023-12-29,1.1914147265708095,0.5436737793740988,0.24745164014918236,0.001305744499758231,0.8837334564481379,0.5436737793740988
2023-12-30,1.223238230672315,0.5502056476882387,0.23120509442424148,0.001219886532075352,0.8688259732266502,0.5502056476882387
2023-12-31,1.2558268761750166,0.5567035704018202,0.215404730536795,0.0011364605388667038,0.8519230769230769,0.5567035704018202
2024-01-01,1.2947062819519521,0.5642143799121135,0.20144724978416753,0.0010627096949998287,0.8330256883556376,0.5642143799121135
2024-01-02,1.3350827166079058,0.5717496460028338,0.27420101765672694,0.0014558830713429273,0.9104121808674254,0.5717496460028338
2024-01-03,1.3754077469009223,0.5790196435518697,0.2674723735383898,0.0014215155906589596,0.9044287252037521,0.5790196435518697
2024-01-04,1.4253670153506197,0.5876912674779505,0.2812243468570768,0.0014909571989029627,0.915359778597786,0.5876912674779505
2024-01-05,1.4837501629222143,0.5973830158410672,0.28185117922442793,0.0014965814221017783,0.9164488854727133,0.5973830158410672
2024-01-06,1.545667101983386,0.6071756596843013,0.2631475235655389,0.0013971198490339203,0.9001690747002766,0.6071756596843013
2024-01-07,1.6115998306956172,0.6170929450038893,0.24577984331085825,0.001304771690348029,0.8829721838020593,0.6170929450038893
2024-01-08,1.6717197499977094,0.6257092458889607,0.22822414021722554,0.0012115737124660272,0.8659342347879533,0.6257092458889607
2024-01-09,1.7299022047438373,0.6336865114573451,0.23120813020170813,0.0012256580269386565,0.8694884006759871,0.6336865114573451
2024-01-10,1.7843170294428394,0.6408454966063593,0.23255040661587184,0.001234409504835033,0.870583717357911,0.6408454966063593
2024-01-11,1.8329005204601516,0.6470049008859764,0.23451109185759664,0.0012431014675727359,0.8722930425433881,0.6470049008859764
2024-01-12,1.8959876396867215,0.6546946588113972,0.22133172815348137,0.0011729291370083804,0.8577242014742015,0.6546946588113972
2024-01-13,1.9624108937059135,0.6624371041422208,0.20695089042823342,0.0010966028530533776,0.8416244434208506,0.6624371041422208
2024-01-14,2.032518170317872,0.6702410525391249,0.19359725539764602,0.0010257351668837872,0.8190819772797052,0.6702410525391249
2024-01-15,2.088458906102137,0.6762139207925957,0.18905459429781385,0.0010009773616657693,0.8112816577129701,0.6762139207925957
2024-01-16,2.141774842455019,0.6817085723372244,0.18769355184797115,0.0009946664114889835,0.8082412523020258,0.6817085723372244
2024-01-17,2.2021936512272253,0.6877140769994485,0.1892868695731146,0.0010042276490695242,0.8131809114623293,0.6877140769994485
2024-01-18,2.271176368936267,0.6942995769056672,0.17862352174646504,0.0009478563106737333,0.7871279533599264,0.6942995769056672
2024-01-19,2.329926493212237,0.6996930706913764,0.18943612733600212,0.0010069962116521483,0.8140052155238533,0.6996930706913764
2024-01-20,2.390113033096696,0.7050245846562376,0.17733354681200067,0.0009425616392686333,0.7833588957055214,0.7050245846562376
2024-01-21,2.4514752630179353,0.7102688202013623,0.16538115061114486,0.0008789856529957207,0.7442876859377396,0.7102688202013623
2024-01-22,2.502763083914568,0.7145110942295206,0.16999678271034807,0.0009024141772499632,0.7602729224164366,0.7145110942295206
2024-01-23,2.5551906889299527,0.718721135517774,0.161425583945322,0.0008571421650577284,0.7288824160662272,0.718721135517774
2024-01-24,2.6056848549042386,0.7226601768482735,0.1563237565206564,0.0008304491952861049,0.7065450643776824,0.7226601768482735
2024-01-25,2.628786106643422,0.7244257526864855,0.15944348819775359,0.0008479232514239182,0.7225287356321839,0.7244257526864855
2024-01-26,2.6678891218983978,0.72736362339044,0.1637689533264854,0.0008699083890708881,0.7375881091020533,0.72736362339044
2024-01-27,2.7052338059515053,0.7301114983908014,0.1534997423745943,0.0008152737538484932,0.6958020530105715,0.7301114983908014
2024-01-28,2.7402080176261454,0.7326351916023416,0.14324976077640833,0.0007607932485867988,0.6460631127450981,0.7326351916023416
2024-01-29,2.7399815286472067,0.7326190002971188,0.17016049214952073,0.0009062176713506988,0.7631337111349364,0.7326190002971188
2024-01-30,2.748076246310852,0.7331964628563046,0.2044347427102676,0.0010849949193836514,0.8380551301684533,0.7331964628563046
2024-01-31,2.7675548740370384,0.7345758632764192,0.1969751182309644,0.0010448499800072373,0.8256775378961874,0.7345758632764192
2024-02-01,2.785670611038575,0.7358460091366332,0.18790546692875215,0.0009963702578543515,0.8088640538885487,0.7358460091366332
2024-02-02,2.819746026153121,0.7382024896018798,0.215912219290983,0.00114136606909649,0.8519057094749732,0.7382024896018798
2024-02-03,2.850786902409732,0.7403128177842758,0.20120420362734273,0.0010635595920675692,0.8318794000612182,0.7403128177842758
2024-02-04,2.8788257192284084,0.7421900151268142,0.1882610462253884,0.0009950372422060697,0.8077276205049733,0.7421900151268142
2024-02-05,2.877298355336792,0.7420884573859065,0.2205281143521454,0.0011695381541798123,0.8570226438188494,0.7420884573859065
2024-02-06,2.866985953610954,0.741400663980636,0.2112046776127067,0.001120627567319503,0.8480189689459997,0.741400663980636
2024-02-07,2.788792716899806,0.7360636818320708,0.19754720064037126,0.0010480513589069514,0.8264759865402264,0.7360636818320708
2024-02-08,2.707829823082264,0.7303004593752593,0.19415097202320228,0.0010308536265434972,0.8205383086098792,0.7303004593752593
2024-02-09,2.6360433950053794,0.7249757796142803,0.18171161687868856,0.0009647038483684888,0.7944189602446483,0.7249757796142803
