month,average_vkospi_stress,maximum_vkospi_stress,maximum_crisis_score,maximum_pre_crash_score,last_source_date,signal_month
2014-04,0.007090045527067009,0.0767833918363949,0.2080179946568114,0.4817420595475852,2014-03-28,2014-03
2014-05,0.008221740512115373,0.0954537538587974,0.1003456255340343,0.7677348712054808,2014-04-29,2014-04
2014-06,0.030795416151097224,0.279625425977911,0.35,0.45635012947373,2014-05-29,2014-05
2014-07,0.014882557177434586,0.1436795186555002,0.0557635706293296,1.0,2014-06-27,2014-06
2014-08,0.02434555478887806,0.3459292100881259,0.2260942914384972,0.7732186431066023,2014-07-30,2014-07
2014-09,0.04331842308735664,0.2736152391253573,0.2639262244922376,0.8370500843578434,2014-08-28,2014-08
2014-10,0.0113158565427329,0.0865901329707236,0.2767048152545188,0.4068802443618151,2014-09-29,2014-09
2014-11,0.17242957148624177,0.6598683824343932,0.2498017965768083,0.2591438536099848,2014-10-30,2014-10
2014-12,0.012672158826767421,0.0762489174947575,0.0609491431328943,1.0,2014-11-27,2014-11
2015-01,0.049936050599317376,0.3177105907242359,0.5247233464430586,0.2968325047551581,2014-12-30,2014-12
2015-02,0.017085585603266104,0.1985709887980784,0.1599662348075038,0.8300278714921583,2015-01-29,2015-01
2015-03,0.00313770104868664,0.0483874242272492,0.0176084277926874,0.3910675606148079,2015-02-26,2015-02
2015-04,0.023718653383834408,0.1955447595447343,0.1843159205705671,0.5524431682075021,2015-03-30,2015-03
2015-05,0.016163103859554037,0.1465469171271987,0.3007100856690509,0.6032725225523964,2015-04-29,2015-04
2015-06,0.04365343179494054,0.3177508871055108,0.125945051667018,0.700942796154923,2015-05-28,2015-05
2015-07,0.08898897301737174,0.3954450881242319,0.1124831029917096,0.4683317662863594,2015-06-29,2015-06
2015-08,0.08646207303286921,0.3287600033885135,0.0885838287649953,0.4842872324312228,2015-07-30,2015-07
2015-09,0.21265855094600172,1.0,0.7590107874174654,0.0804566818311118,2015-08-28,2015-08
2015-10,0.24047450439622306,0.5758187460544197,0.2794235903077622,0.6573951318976486,2015-09-25,2015-09
2015-11,0.011786964638490214,0.1944664031620551,0.0680058398378986,0.5204753638465797,2015-10-29,2015-10
2015-12,0.00014547560971593334,0.0030549878040346,0.6050968262776112,0.8648440713339501,2015-11-27,2015-11
2016-01,0.021019570982576386,0.1265999375302662,0.1105843294658145,0.6757901815293518,2015-12-30,2015-12
2016-02,0.16966096636146796,0.5257833051766835,0.3875485791063638,0.7383839349320245,2016-01-28,2016-01
