date,month,signal_date,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,state,vkospi_stress,crisis_score,pre_crash_score,source_gross_exposure,gross_exposure,w_KODEX200,w_BOND,w_GLD,w_USO
2008-06-27,2008-06,2008-06-26,0.010650639315300647,0.010650639315300647,1.6992196244996443,0.0,6.938893903907228e-17,2.0816681711721684e-19,1.1102230246251566e-19,RiskOn,0.0688674339211062,0.000284390759094,0.0018995878749953,0.9838572569784794,1.0,0.1265749256362638,0.1988788073079967,0.19084801633785609,0.48369825071788347
2008-06-30,2008-06,2008-06-27,0.003346481718731644,0.003346481718731644,1.7049060319091422,0.0,5.551115123125783e-17,1.6653345369377348e-19,5.551115123125783e-20,RiskOn,0.0680765329709846,0.0,0.0,0.9840222111055887,1.0,0.12575736548433147,0.19631853755458775,0.19162322436374746,0.48630087259733334
2008-07-01,2008-07,2008-06-30,-0.015462332054248084,-0.015315047828108531,1.6785442087224727,-0.015462332054248074,0.044385700441911265,0.00013315710132573379,1.4127124813818837e-05,RiskOn,0.0,0.0,0.0,1.0004101631458342,1.0,0.1330195590485375,0.21601088444203642,0.20844572458818464,0.44252383192124156
2008-07-02,2008-07,2008-07-01,0.009706362591774157,0.009706362591774157,1.6948367674386555,-0.005906052463906852,9.71445146547012e-17,2.914335439641036e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0,1.0004166100338692,0.9999999999999999,0.13452568191076528,0.21881220796618792,0.20899655766516567,0.4376655524578811
2008-07-03,2008-07,2008-07-02,0.0011758785030448154,0.0011758785030448156,1.6968296895596569,-0.004737118760992143,8.326672684688674e-17,2.4980018054066025e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0,1.0004126677345295,0.9999999999999999,0.12758379778647497,0.21627427025181495,0.208198203820722,0.44794372814098804
2008-07-04,2008-07,2008-07-03,-0.018219547736016938,-0.018219547736016938,1.665914220030834,-0.022870358335611907,5.551115123125783e-17,1.6653345369377348e-19,0.0,RiskOn,0.0,0.0,0.0,1.0004122470402108,1.0,0.12850981800049077,0.21611888705503698,0.20795367556399708,0.44741761938047503
2008-07-07,2008-07,2008-07-04,-0.018630313888188945,-0.018630313888188945,1.634877715200862,-0.04107459026927307,8.326672684688674e-17,2.4980018054066025e-19,0.0,RiskOn,0.0,0.0,0.0,1.0004199659778807,0.9999999999999998,0.1278237796787679,0.22027019288001315,0.2074373292808574,0.4444686981603614
2008-07-08,2008-07,2008-07-07,-0.018859065941191945,-0.018859065941191945,1.6040454485641038,-0.05915902780406934,6.938893903907228e-17,2.0816681711721684e-19,0.0,RiskOn,0.0,0.0,0.0,1.0004280086579311,1.0,0.1311722590724739,0.22463606254681492,0.20842091312165892,0.43577076525905223
2008-07-09,2008-07,2008-07-08,-0.001610287530911458,-0.0016102875309114576,1.6014624741792658,-0.06067405229016698,1.3877787807814457e-16,4.163336342344337e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0,1.0004363071740556,1.0000000000000002,0.13209893287046542,0.22926692624885953,0.20783689754659015,0.43079724333408503
2008-07-10,2008-07,2008-07-09,0.038462885946835376,0.038462885946835376,1.6630593426717597,-0.0245448654965007,6.938893903907228e-17,2.0816681711721684e-19,1.1102230246251566e-19,RiskOn,0.0,0.0,0.0,1.0004370792452322,1.0,0.1271491479658303,0.22949040201890725,0.21108619702137937,0.432274252993883
2008-07-11,2008-07,2008-07-10,0.0009097957437463385,0.000909795743746339,1.66457238698332,-0.0236574005669139,1.249000902703301e-16,3.7470027081099033e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0,1.0004209493034297,1.0000000000000002,0.12579034125417715,0.2204269249201774,0.20903049046754482,0.44475224335810076
2008-07-14,2008-07,2008-07-11,0.004924328596713954,0.004924328596713954,1.6727692883898424,-0.018849568784335524,1.1102230246251565e-16,3.3306690738754697e-19,0.0,RiskOn,0.0,0.0,0.0,1.0004206320013938,1.0,0.12728919447937223,0.22016623870324833,0.21062496000280584,0.44191960681457365
2008-07-15,2008-07,2008-07-14,-0.02586609271759623,-0.02586609271759623,1.6295012828812032,-0.044228096808069384,8.326672684688674e-17,2.4980018054066025e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0,1.000418635136012,1.0000000000000002,0.1256375604086851,0.2192274491018231,0.21340425016038386,0.44173074032910814
2008-07-16,2008-07,2008-07-15,-0.009435260053278573,-0.009435260053278573,1.614126514520068,-0.05324605326630227,2.0816681711721685e-16,6.245004513516505e-19,1.6653345369377348e-19,RiskOn,0.0,0.0,0.0,1.00042982281564,0.9999999999999998,0.12633564039070366,0.22519236432813564,0.21856556878194655,0.4299064264992139
2008-07-17,2008-07,2008-07-16,-0.011680466862600115,-0.011680466862600115,1.5952727632551722,-0.06430458136816108,1.3877787807814457e-16,4.163336342344337e-19,5.551115123125783e-20,RiskOn,0.0398967810889911,0.0020444684273946,0.0,1.0004339862799747,1.0,0.12955769215369123,0.227772823799737,0.21771675623561004,0.4249527278109617
2008-07-18,2008-07,2008-07-17,-0.0015459372207263077,-0.0015459372207263073,1.5928065717132451,-0.06575110774308712,1.1102230246251565e-16,3.3306690738754697e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0,1.0004391859831747,1.0,0.13107556488331393,0.23050672351119353,0.21958527009081089,0.41883244151468163
2008-07-21,2008-07,2008-07-18,0.005527932679125441,0.005527932679125441,1.6016114992125448,-0.06058664276114323,9.71445146547012e-17,2.914335439641036e-19,5.551115123125783e-20,RiskOn,0.052438559685578,0.0023811092238387,0.0,1.000439934782737,1.0,0.130418915831898,0.23042232287836012,0.22166465827420756,0.41749410301553436
2008-07-22,2008-07,2008-07-21,-0.018353554862322437,-0.018353554862322437,1.5722162346936208,-0.07782821735162515,1.1102230246251565e-16,3.3306690738754697e-19,5.551115123125783e-20,RiskOn,0.0,0.1174006448873888,0.0,1.0004375832933308,0.9999999999999998,0.13133215276734714,0.23003331679389993,0.22283584769372253,0.41579868274503023
2008-07-23,2008-07,2008-07-22,-0.009563893630179822,-0.009563893630179822,1.557179725861369,-0.08664777018962755,1.249000902703301e-16,3.7470027081099033e-19,0.0,RiskOn,0.0,0.0,0.0,1.0004458377211671,1.0,0.13694026152750244,0.23461094633472465,0.2184634980842803,0.40998529405349254
2008-07-24,2008-07,2008-07-23,-0.0027034852789208402,-0.00270348527892084,1.552969913395869,-0.08911700449738935,8.326672684688674e-17,2.4980018054066025e-19,0.0,RiskOn,0.0,0.0,0.2952258402278583,1.0004502148738452,0.9999999999999999,0.13980982257185837,0.23706986332652735,0.21561326703404202,0.4075070470675721
2008-07-25,2008-07,2008-07-24,-0.0017224376913641082,-0.0017224376913641077,1.5502950194834815,-0.0906859437012657,1.1102230246251565e-16,3.3306690738754697e-19,0.0,PreCrash,0.0,0.0,0.393114561612758,1.0004515061712058,1.0,0.1395122076238459,0.23792804967386347,0.21681073584134145,0.40574900686094917
2008-07-28,2008-07,2008-07-25,-0.0030172091715868397,-0.0030172091715868392,1.5456174551320305,-0.09342953441178303,1.249000902703301e-16,3.7470027081099033e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0056310343344234,1.000452355986664,1.0,0.14077301765731176,0.237993123502853,0.21765417978267454,0.40357967905716075
2008-07-29,2008-07,2008-07-28,-0.00767966484454982,-0.00767966484454982,1.5337476310987304,-0.10039169174546814,5.551115123125783e-17,1.6653345369377348e-19,0.0,RiskOn,0.0,0.0,0.1916408011882752,1.0004537962453213,1.0,0.1376488109723059,0.23892993102741428,0.21793067609083755,0.40549058190944226
2008-07-30,2008-07,2008-07-29,0.021293357741749622,0.021293357741749622,1.5664062680932767,-0.0812360102103542,9.71445146547012e-17,2.914335439641036e-19,0.0,RiskOn,0.0,0.0,0.0597505289715158,1.0004573810380033,1.0,0.1406378859713939,0.24097544509666358,0.21491166490353258,0.40347500402840997
2008-07-31,2008-07,2008-07-30,-0.014173796848387897,-0.014173796848387897,1.544204343867281,-0.09425838435324707,8.326672684688674e-17,2.4980018054066025e-19,5.551115123125783e-20,RiskOn,0.0782922497598108,0.0,0.0,1.0004479103828885,1.0,0.13741430818077538,0.23571619693310758,0.21568108368373842,0.4111884112023786
2008-08-01,2008-08,2008-07-31,-0.005426881846225666,-0.004167355318452591,1.5358241293466848,-0.09917373708457156,0.4170772699940589,0.0012512318099821768,8.294717790898077e-06,RiskOn,0.0,0.0,0.0,1.399999210637984,1.0,0.12683925553792325,0.26824113689216356,0.6034758132373672,0.0014437943325460037
2008-08-04,2008-08,2008-08-01,-0.014209077548022697,-0.014209077548022697,1.5140014851926733,-0.1119736473116324,6.10405823109339e-17,1.831217469328017e-19,0.0,RiskOn,0.0,0.0,0.0,1.402434446899199,1.0,0.12638688861016176,0.26899811822217906,0.6031574434264525,0.0014575497412067792
2008-08-05,2008-08,2008-08-04,-0.00046486833174617074,-0.00046486833174617037,1.5132976738479906,-0.11238646264075325,1.1525069093520912e-16,3.4575207280562737e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0,1.410707095417849,1.0,0.125913467023558,0.2731720837821986,0.5994878578752848,0.0014265913189585966
2008-08-06,2008-08,2008-08-05,8.726289262580828e-05,8.72628926258085e-05,1.5134297285804146,-0.11230900691594936,7.470152968425126e-17,2.241045890527538e-19,0.0,RiskOn,0.0,0.0,0.0159198768259897,1.4110668747899517,1.0,0.12838976931192148,0.27371959209662317,0.5964682579028757,0.001422380688579674
2008-08-07,2008-08,2008-08-06,-0.01856677918891624,-0.01856677918891624,1.4853302129919206,-0.12879056957253077,1.328147661294743e-16,3.984442983884229e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0178507200427907,1.4111065398168159,0.9999999999999999,0.1292803440340295,0.27396774736274004,0.5953168030504257,0.0014351055528046724
2008-08-08,2008-08,2008-08-07,0.0045016368252705245,0.0045016368252705245,1.492016630176412,-0.12486870111799542,8.695301423333746e-17,2.608590427000124e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0187119696831807,1.4222606522991146,1.0,0.12904776009231592,0.2789742857606202,0.5905463980201109,0.0014315561269529523
2008-08-11,2008-08,2008-08-08,-0.027234889199236292,-0.027234889199236292,1.4513817225701393,-0.14870280507783062,6.494371013188172e-17,1.9483113039564514e-19,0.0,RiskOn,0.0,0.0,0.0149177266469772,1.4196670410298853,1.0000000000000002,0.13225806287413716,0.2776739013949736,0.5886665649323994,0.0014014707984898668
2008-08-12,2008-08,2008-08-11,-0.0017700672716682174,-0.0017700672716682172,1.4488126792843206,-0.1502096583810253,7.502679033599691e-17,2.2508037100799073e-19,0.0,RiskOn,0.0,0.0,0.0,1.4366434747074963,1.0,0.13498726982824605,0.28508701448215545,0.5784942476988995,0.0014314679906990214
2008-08-13,2008-08,2008-08-12,-0.0015088063396476448,-0.0015088063396476443,1.4466267015288545,-0.15149182743583134,1.4669255393728875e-16,4.400776618118663e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0,1.4378546412470221,1.0,0.134652078892685,0.2854891973227053,0.578443385030169,0.001415338754440742
2008-08-14,2008-08,2008-08-13,-0.019455687696323887,-0.019455687696323887,1.4184815842107459,-0.16800013744901832,9.80118763926896e-17,2.940356291780688e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0,1.4389048851707966,0.9999999999999999,0.13320958278299816,0.2851702841872674,0.5801800970867635,0.0014400359429708564
2008-08-15,2008-08,2008-08-14,0.006011956440217318,0.006011956440217318,1.4270094337062713,-0.16299819051709508,7.838781707070197e-17,2.351634512121059e-19,0.0,RiskOn,0.0,0.0,0.0,1.45164788539266,1.0000000000000002,0.13585269029814429,0.29088132607535916,0.5718246354799009,0.0014413481465957154
