Model,Config,threshold,max_shift,bond_share,horizon_weights,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgDefensiveShift,ActiveMonths,CAGRDelta,SharpeDelta,MDDDelta,CalmarDelta,MultiObjectiveScore,Selected
CJM,th0.50_shift0.40_bond0.00_hw0.50-0.30-0.20,0.5,0.4,0.0,"(0.5, 0.3, 0.2)",129.0,0.1247922368992973,0.13891125685396652,0.9185279365943912,1.7236723796341553,-0.1298226382385037,0.9612517400088203,3.540196231060112,0.5968992248062015,0.13313842530142117,0.005357034760477235,4,-0.0038006253875126905,-0.026584647456493027,0.0,-0.029275521119285663,0.15711805555555555,False
CJM,th0.50_shift0.40_bond0.00_hw0.33-0.33-0.33,0.5,0.4,0.0,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.12541021604403135,0.13882410696781378,0.9230150840945714,1.7333535511737546,-0.1298226382385037,0.9660119201524308,3.561161518956924,0.5968992248062015,0.13128936359141274,0.004590989460046392,4,-0.0031826462427786417,-0.022097499956312827,0.0,-0.024515340975675204,0.1779513888888889,False
CJM,th0.50_shift0.40_bond0.50_hw1.00-0.00-0.00,0.5,0.4,0.5,"(1.0, 0.0, 0.0)",129.0,0.12573342172332058,0.13871870001859246,0.9257034780298128,1.7393976089856455,-0.1298226382385037,0.9685015142915936,3.5721712417151217,0.5968992248062015,0.1386425174488257,0.007661291936365264,6,-0.0028594405634894127,-0.019409106021071487,0.0,-0.022025746836512372,0.1918402777777778,False
CJM,th0.50_shift0.40_bond0.50_hw0.50-0.30-0.20,0.5,0.4,0.5,"(0.5, 0.3, 0.2)",129.0,0.12656359687034024,0.13865755852289893,0.9314222441736031,1.751351974786826,-0.1298226382385037,0.9748962013683922,3.600592073045482,0.5968992248062015,0.13313842530142117,0.005357034760477235,4,-0.00202926541646975,-0.013690339877281188,0.0,-0.015631059759713795,0.2769097222222222,False
CJM,th0.50_shift0.40_bond0.50_hw0.33-0.33-0.33,0.5,0.4,0.5,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.12687534386423227,0.13863194905130824,0.9335858769268591,1.755635136698756,-0.1298226382385037,0.9772975313530694,3.6113175076547406,0.5968992248062015,0.13128936359141274,0.004590989460046392,4,-0.001717518422577724,-0.011526707124025148,0.0,-0.013229729775036558,0.3081597222222222,False
CJM,th0.50_shift0.40_bond1.00_hw1.00-0.00-0.00,0.5,0.4,1.0,"(1.0, 0.0, 0.0)",129.0,0.12800891451674024,0.13839314378960477,0.942304166595859,1.7727489014499183,-0.1298226382385037,0.9860292184292897,3.6505619032392977,0.5968992248062015,0.1386425174488257,0.007661291936365264,6,-0.0005839477700697593,-0.002808417455025247,0.0,-0.0044980426988162625,0.5703125,False
CJM,th0.50_shift0.40_bond1.00_hw0.50-0.30-0.20,0.5,0.4,1.0,"(0.5, 0.3, 0.2)",129.0,0.1283264550764427,0.13847333526096464,0.9438900152721326,1.7763756750396027,-0.1298226382385037,0.9884751751900751,3.6616243434142244,0.5968992248062015,0.13313842530142117,0.005357034760477235,4,-0.0002664072103673032,-0.0012225687787517092,0.0,-0.0020520859380308565,0.6605902777777778,False
CJM,th0.50_shift0.40_bond1.00_hw0.33-0.33-0.33,0.5,0.4,1.0,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.1283349578895132,0.1384856006162769,0.9438736886820909,1.776206627274313,-0.1298226382385037,0.9885406708015176,3.6619209809237465,0.5968992248062015,0.13128936359141274,0.004590989460046392,4,-0.00025790439729678205,-0.0012388953687934023,0.0,-0.0019865903265883222,0.6657986111111112,False
CJM,th0.55_shift0.10_bond0.00_hw1.00-0.00-0.00,0.55,0.1,0.0,"(1.0, 0.0, 0.0)",129.0,0.12737747484310757,0.13864446191815288,0.9367621402490226,1.7613639564315149,-0.1298226382385037,0.9811653542974224,3.6286539063982923,0.5968992248062015,0.12374531569460204,0.001635753207422598,4,-0.0012153874437024204,-0.008350443801861673,0.0,-0.009361906830683608,0.4001736111111111,False
CJM,th0.55_shift0.10_bond0.00_hw0.50-0.30-0.20,0.55,0.1,0.0,"(0.5, 0.3, 0.2)",129.0,0.12776702132576756,0.13860962031834645,0.9394820028981419,1.7667485926020015,-0.1298226382385037,0.9841659594919057,3.6421552075834542,0.5968992248062015,0.12255280703537821,0.001163334235350409,3,-0.0008258409610424344,-0.005630581152742398,0.0,-0.0063613016362003005,0.4904513888888889,False
CJM,th0.55_shift0.10_bond0.00_hw0.33-0.33-0.33,0.55,0.1,0.0,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.12793028851573096,0.1385961862962677,0.9406153758457116,1.768956709967678,-0.1298226382385037,0.9854235767470985,3.647827426286846,0.5968992248062015,0.12203917878259808,0.0009682614793530203,3,-0.0006625737710790336,-0.004497208205172631,0.0,-0.0051036843810075005,0.5321180555555555,False
