signal_month,Model,p_h1,p_h3,p_h6,p_current
2020-09,CJM,0.07523772609819121,0.1101016201473525,0.12545377937160057,0.0
2020-10,CJM,0.07502735042735043,0.10759402841515198,0.12051449427700715,0.0
2020-11,CJM,0.9016319444444444,0.8646864887559679,0.8469368966238602,1.0
2020-12,CJM,0.08191885389326334,0.12141504370134917,0.13714685901039575,0.0
2021-01,CJM,0.08164756944444446,0.11866569744220141,0.13203357363086166,0.0
2021-02,CJM,0.07302631578947369,0.09692169959177724,0.10272544596970552,0.0
2021-03,CJM,0.07352280265339967,0.10110054951085518,0.10970249870769569,0.0
2021-04,CJM,0.08060353535353537,0.11219216382523585,0.12129966375339044,0.0
2021-05,CJM,0.0827589605734767,0.13394206762509026,0.1643933869736536,0.0
2021-06,CJM,0.0827589605734767,0.13394206762509026,0.1643933869736536,0.0
2021-07,CJM,0.08923263888888888,0.13131469023398168,0.14603582592714615,0.0
2021-08,CJM,0.08992708333333332,0.13200913467842612,0.1467302703715906,0.0
2021-09,CJM,0.08455777777777779,0.13395539550364444,0.1619511160697681,0.0
2021-10,CJM,0.08346382428940569,0.12416658073894263,0.14157275143792955,0.0
2021-11,CJM,0.07630058043117745,0.10387832728863294,0.11248027648547346,0.0
2021-12,CJM,0.07775174978127736,0.12188491534376006,0.1501325664293593,0.0
2022-01,CJM,0.07630058043117745,0.10387832728863294,0.11248027648547346,0.0
2022-02,CJM,0.6176666666666667,0.3176544245898684,0.19309826509538464,1.0
2022-03,CJM,0.7226666666666667,0.4628603506942579,0.29970435385021627,1.0
2022-04,CJM,0.7329065656565655,0.4792776903313581,0.31445936088241283,1.0
2022-05,CJM,0.7637457264957265,0.533192358357356,0.3665240934648328,1.0
2022-06,CJM,0.7707222222222222,0.5454693079131524,0.3791900706598318,1.0
2022-07,CJM,0.7929355555555555,0.5838649748702314,0.41231016454571706,1.0
2022-08,CJM,0.7870555555555555,0.5765659653187842,0.4127267704758073,1.0
2022-09,CJM,0.8130948275862069,0.6243241374480389,0.4596438699012264,1.0
2022-10,CJM,0.80875,0.6152647334593572,0.4487202004960837,1.0
2022-11,CJM,0.8130948275862069,0.6243241374480389,0.4596438699012264,1.0
2022-12,CJM,0.8251944444444443,0.6493121896542233,0.49050927500869784,1.0
2023-01,CJM,0.6787903903903904,0.5524589173593588,0.43839507304079145,0.8
2023-02,CJM,0.09317417417417417,0.16117156343801603,0.2171485003224165,0.0
2023-03,CJM,0.1200104821802935,0.23916334488985316,0.3594188046639494,0.0
2023-04,CJM,0.6146089304257528,0.5244688584275528,0.4401581970950632,0.7
2023-05,CJM,0.09212500000000001,0.15906429959575802,0.2134059146123524,0.0
2023-06,CJM,0.08425,0.14120121905567118,0.18869149161165497,0.0
2023-07,CJM,0.88225,0.7901415153200707,0.7048237223540037,1.0
2023-08,CJM,0.08369736842105263,0.13881800323855348,0.18335366660883703,0.0
2023-09,CJM,0.8892860824742267,0.8106230447819573,0.7420372584978193,1.0
2023-10,CJM,0.09179227053140097,0.15541031557331764,0.20458292206012965,0.0
2023-11,CJM,0.17172861997635935,0.22579178960929405,0.2732404700803033,0.1
2023-12,CJM,0.09109782608695653,0.1547158711288732,0.2038884776156852,0.0
2024-01,CJM,0.09212865497076023,0.15688171200459683,0.20782444039694636,0.0
2024-02,CJM,0.09212865497076023,0.15688171200459683,0.20782444039694636,0.0
2024-03,CJM,0.0720638686131387,0.091545792597088,0.09646199883461831,0.0
2024-04,CJM,0.09109782608695653,0.1547158711288732,0.2038884776156852,0.0
