name,max_exposure,target_vol,sleeve_stop,safe_exposure,cooldown_days,global_stop,global_cooldown_days,vix_threshold,vix_multiplier,rebalance_band,financing_rate,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgExposure,StoppedDays,MDD9Pass,CAGRRetention
mx1.50_tv0.30_ss0.08_se0.00_cd5_gs0.09,1.5,0.3,0.08,0.0,5,0.09,10,35.0,0.5,0.1,0.04,129.0,-0.08156197536964171,0.09898870387326211,-0.8081183333389664,-1.0604005474118774,-0.7136895965464085,-0.11428214137396081,0.400669191959786,0.3643410852713178,3.3672510153702566,0.15862867837385272,68,False,-0.5351151505529673
mx1.50_tv0.30_ss0.08_se0.00_cd5_gs0.10,1.5,0.3,0.08,0.0,5,0.1,10,35.0,0.5,0.1,0.04,129.0,-0.05429464000157702,0.10348249377520036,-0.488156574692372,-0.7112903725611258,-0.6186349872010231,-0.08776522687025813,0.5487510862449907,0.3798449612403101,3.356650816248256,0.1602546951676904,68,False,-0.3562184992086059
mx1.50_tv0.30_ss0.08_se0.00_cd10_gs0.08,1.5,0.3,0.08,0.0,10,0.08,10,35.0,0.5,0.1,0.04,129.0,-0.07792457913409012,0.09805248817895365,-0.7767631892547316,-1.031243890954959,-0.7012620009614433,-0.1111204928076155,0.41806064760012607,0.3643410852713178,3.2872150300265113,0.15681978058225163,115,False,-0.5112507722641052
mx1.50_tv0.30_ss0.08_se0.00_cd10_gs0.09,1.5,0.3,0.08,0.0,10,0.09,10,35.0,0.5,0.1,0.04,129.0,-0.07792457913409012,0.09805248817895365,-0.7767631892547316,-1.031243890954959,-0.7012620009614433,-0.1111204928076155,0.41806064760012607,0.3643410852713178,3.2872150300265113,0.15681978058225163,115,False,-0.5112507722641052
mx1.50_tv0.30_ss0.08_se0.00_cd10_gs0.10,1.5,0.3,0.08,0.0,10,0.1,10,35.0,0.5,0.1,0.04,129.0,-0.05162245078588368,0.10149877528748674,-0.4720726142049068,-0.7002550423239791,-0.6068900400773733,-0.08506063269600248,0.5656510437022576,0.3875968992248062,3.3200760712464907,0.15940562223092267,115,False,-0.33868669069144736
mx1.50_tv0.30_ss0.08_se0.00_cd20_gs0.08,1.5,0.3,0.08,0.0,20,0.08,10,35.0,0.5,0.1,0.04,129.0,-0.07844304843937588,0.09761618812239992,-0.7864037882960544,-1.0456640435213975,-0.7030628006033728,-0.11157331659711704,0.41554056824321134,0.35658914728682173,3.2530141122645224,0.15605511443078246,166,False,-0.5146523669299738
mx1.50_tv0.30_ss0.08_se0.00_cd20_gs0.09,1.5,0.3,0.08,0.0,20,0.09,10,35.0,0.5,0.1,0.04,129.0,-0.07844304843937588,0.09761618812239992,-0.7864037882960544,-1.0456640435213975,-0.7030628006033728,-0.11157331659711704,0.41554056824321134,0.35658914728682173,3.2530141122645224,0.15605511443078246,166,False,-0.5146523669299738
mx1.50_tv0.30_ss0.08_se0.00_cd20_gs0.10,1.5,0.3,0.08,0.0,20,0.1,10,35.0,0.5,0.1,0.04,129.0,-0.04576102966533002,0.10015884794390377,-0.41855178353404693,-0.6357566350829633,-0.5799704893992267,-0.07890234158764257,0.6043859359448417,0.3953488372093023,3.2606508524396403,0.15807506169531133,166,False,-0.30023083879275897
mx1.50_tv0.30_ss0.08_se0.25_cd5_gs0.08,1.5,0.3,0.08,0.25,5,0.08,10,35.0,0.5,0.1,0.04,129.0,-0.013418070703061669,0.10420844845255887,-0.07912540364627936,-0.12825971964704558,-0.3977934332274955,-0.03373125240955891,0.8648313650437222,0.4573643410852713,2.6048477067720297,0.3824716163236871,68,False,-0.08803382816389904
mx1.50_tv0.30_ss0.08_se0.25_cd5_gs0.09,1.5,0.3,0.08,0.25,5,0.09,10,35.0,0.5,0.1,0.04,129.0,-0.026405816685362127,0.10777324943405658,-0.19568566674754923,-0.29988868966652715,-0.470786773141434,-0.05608869703191359,0.7500033159710641,0.4573643410852713,2.620982153663716,0.3799994948286925,68,False,-0.1732443642643924
