name,model_name,rank_threshold,protection_fraction,vix_threshold,vix_fraction,vol_cap,dd_start,dd_fraction,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgProtection,MDD9Pass,CAGRRetention
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf1.00_vc99.00_dd0.05_df0.75,logit_s_l5_c01,0.8,0.75,35.0,1.0,99.0,-0.05,0.75,129.0,0.12767005921533592,0.1484013405225758,0.8862092035565807,1.63807786761427,-0.1805560771489696,0.70709366990733,3.6387903432384388,0.6046511627906976,0.13473583917207757,0.4388342323535851,False,0.8376229566351274
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf0.75_vc0.22_dd0.03_df0.50,logit_s_l5_c01,0.8,0.75,99.0,0.75,0.22,-0.03,0.5,129.0,0.11921080157299802,0.14308544812754848,0.8604585891686647,1.6072033165892543,-0.16579483529464312,0.7190260261192211,3.3558523821428228,0.6201550387596899,0.12987268624907503,0.3745565261600578,False,0.7821231124205785
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf0.75_vc0.22_dd0.03_df0.75,logit_s_l5_c01,0.8,0.75,99.0,0.75,0.22,-0.03,0.75,129.0,0.11122194471741631,0.13319777560792284,0.8599885464015692,1.6209598830710439,-0.14077759240483267,0.7900543177182382,3.107124824907028,0.6201550387596899,0.1352277990611014,0.519880079289667,False,0.7297094929656003
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf0.75_vc0.22_dd0.05_df0.50,logit_s_l5_c01,0.8,0.75,99.0,0.75,0.22,-0.05,0.5,129.0,0.12042648522040422,0.14553015363589053,0.8559694474389611,1.5835174112104389,-0.1690474000512282,0.7123829481193448,3.3952455467900644,0.627906976744186,0.1331893738009364,0.35157139557887107,False,0.790099019515255
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf0.75_vc0.22_dd0.05_df0.75,logit_s_l5_c01,0.8,0.75,99.0,0.75,0.22,-0.05,0.75,129.0,0.11068792491186397,0.13627275424515858,0.8401047908995906,1.5521850351735778,-0.14565643953970997,0.75992469170364,3.0911105787868993,0.627906976744186,0.1293379472452832,0.50472405103569,False,0.7262058739402968
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf0.75_vc0.26_dd0.03_df0.50,logit_s_l5_c01,0.8,0.75,99.0,0.75,0.26,-0.03,0.5,129.0,0.11660231316266434,0.1488373798172663,0.8170006300386198,1.4867930637802191,-0.18017353307689876,0.6471667129538833,3.2727220642409582,0.6201550387596899,0.13163270506150834,0.38790738914216927,False,0.7650092347577906
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf0.75_vc0.26_dd0.03_df0.75,logit_s_l5_c01,0.8,0.75,99.0,0.75,0.26,-0.03,0.75,129.0,0.11453876823661613,0.13769784450941022,0.8581441527018551,1.5935804493923214,-0.1555779782180432,0.736214530800044,3.2082867742637986,0.6356589147286822,0.1275609090137253,0.5218201629756105,False,0.7514706446394092
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf0.75_vc0.26_dd0.05_df0.50,logit_s_l5_c01,0.8,0.75,99.0,0.75,0.26,-0.05,0.5,129.0,0.11994017332023699,0.15312150385287526,0.8178731033171082,1.494951580792998,-0.18017353307689876,0.6656925202718096,3.3794369825859847,0.6201550387596899,0.13419336381795735,0.3613659560014365,False,0.7869084044707528
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf0.75_vc0.26_dd0.05_df0.75,logit_s_l5_c01,0.8,0.75,99.0,0.75,0.26,-0.05,0.75,129.0,0.11275076460500055,0.14315253184901133,0.8192582790800058,1.5141891258107874,-0.1555779782180432,0.7247218783559449,3.1533882115341014,0.6124031007751938,0.14373432923061488,0.47552583040822577,False,0.73973983713769
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf0.75_vc0.30_dd0.03_df0.50,logit_s_l5_c01,0.8,0.75,99.0,0.75,0.3,-0.03,0.5,129.0,0.11961995886688936,0.1556054591694925,0.8053875331268524,1.462853491737423,-0.1945571890087905,0.6148318624272716,3.3690642386050875,0.6124031007751938,0.13124771846062452,0.3809977886898716,False,0.7848075283622994
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf0.75_vc0.30_dd0.03_df0.75,logit_s_l5_c01,0.8,0.75,99.0,0.75,0.3,-0.03,0.75,129.0,0.11911325735965339,0.14304246429808404,0.8599556614491098,1.6191361897217007,-0.17038347309333912,0.6990892672694905,3.3527095845176764,0.627906976744186,0.12930389229364864,0.5162887837386988,False,0.7814831403481401
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf0.75_vc0.30_dd0.05_df0.50,logit_s_l5_c01,0.8,0.75,99.0,0.75,0.3,-0.05,0.5,129.0,0.11908942982618886,0.15994885595132075,0.784667463689758,1.4179671749978686,-0.1945571890087906,0.6121050084703274,3.351942285980264,0.6201550387596899,0.13648179181008963,0.3634678058403727,False,0.7813268116900934
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf0.75_vc0.30_dd0.05_df0.75,logit_s_l5_c01,0.8,0.75,99.0,0.75,0.3,-0.05,0.75,129.0,0.11884062402527329,0.14912217755698162,0.828986372205688,1.5460419856498724,-0.17038347309333912,0.6974891511934979,3.34393970562938,0.6124031007751938,0.13501824613645771,0.4697228249263368,False,0.7796944363949636
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf0.75_vc99.00_dd0.03_df0.50,logit_s_l5_c01,0.8,0.75,99.0,0.75,99.0,-0.03,0.5,129.0,0.12385105335237401,0.16862185483590322,0.7781026796047787,1.401405794164004,-0.2047275147494666,0.6049555845189426,3.5084810681685488,0.6124031007751938,0.12629348389635348,0.37237205741071666,False,0.8125670664600817
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf0.75_vc99.00_dd0.03_df0.75,logit_s_l5_c01,0.8,0.75,99.0,0.75,99.0,-0.03,0.75,129.0,0.11591288126245858,0.15376563360110435,0.7917749050060788,1.4074121777397448,-0.1808517279161127,0.640927695842775,3.2510647998859317,0.6356589147286822,0.12210839701911937,0.5224525773439678,False,0.7604859816928342
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf0.75_vc99.00_dd0.05_df0.50,logit_s_l5_c01,0.8,0.75,99.0,0.75,99.0,-0.05,0.5,129.0,0.12331378341045629,0.17285278906846213,0.7603329713859796,1.359603909255175,-0.2047275147494665,0.6023312673011268,3.4904923807233197,0.6201550387596899,0.12514731152560182,0.355526057119424,False,0.8090421238069162
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf0.75_vc99.00_dd0.05_df0.75,logit_s_l5_c01,0.8,0.75,99.0,0.75,99.0,-0.05,0.75,129.0,0.11458811673104563,0.1591080766916613,0.7626613398338059,1.358367164770633,-0.1808517279161127,0.6336025541552848,3.2098141789463086,0.6124031007751938,0.13274207855569325,0.47515042213759107,False,0.7517944122640471
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf1.00_vc0.22_dd0.03_df0.50,logit_s_l5_c01,0.8,0.75,99.0,1.0,0.22,-0.03,0.5,129.0,0.11921080157299802,0.14308544812754848,0.8604585891686647,1.6072033165892543,-0.16579483529464312,0.7190260261192211,3.3558523821428228,0.6201550387596899,0.12987268624907503,0.3745565261600578,False,0.7821231124205785
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf1.00_vc0.22_dd0.03_df0.75,logit_s_l5_c01,0.8,0.75,99.0,1.0,0.22,-0.03,0.75,129.0,0.11122194471741631,0.13319777560792284,0.8599885464015692,1.6209598830710439,-0.14077759240483267,0.7900543177182382,3.107124824907028,0.6201550387596899,0.1352277990611014,0.519880079289667,False,0.7297094929656003
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf1.00_vc0.22_dd0.05_df0.50,logit_s_l5_c01,0.8,0.75,99.0,1.0,0.22,-0.05,0.5,129.0,0.12042648522040422,0.14553015363589053,0.8559694474389611,1.5835174112104389,-0.1690474000512282,0.7123829481193448,3.3952455467900644,0.627906976744186,0.1331893738009364,0.35157139557887107,False,0.790099019515255
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf1.00_vc0.22_dd0.05_df0.75,logit_s_l5_c01,0.8,0.75,99.0,1.0,0.22,-0.05,0.75,129.0,0.11068792491186397,0.13627275424515858,0.8401047908995906,1.5521850351735778,-0.14565643953970997,0.75992469170364,3.0911105787868993,0.627906976744186,0.1293379472452832,0.50472405103569,False,0.7262058739402968
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf1.00_vc0.26_dd0.03_df0.50,logit_s_l5_c01,0.8,0.75,99.0,1.0,0.26,-0.03,0.5,129.0,0.11660231316266434,0.1488373798172663,0.8170006300386198,1.4867930637802191,-0.18017353307689876,0.6471667129538833,3.2727220642409582,0.6201550387596899,0.13163270506150834,0.38790738914216927,False,0.7650092347577906
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf1.00_vc0.26_dd0.03_df0.75,logit_s_l5_c01,0.8,0.75,99.0,1.0,0.26,-0.03,0.75,129.0,0.11453876823661613,0.13769784450941022,0.8581441527018551,1.5935804493923214,-0.1555779782180432,0.736214530800044,3.2082867742637986,0.6356589147286822,0.1275609090137253,0.5218201629756105,False,0.7514706446394092
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf1.00_vc0.26_dd0.05_df0.50,logit_s_l5_c01,0.8,0.75,99.0,1.0,0.26,-0.05,0.5,129.0,0.11994017332023699,0.15312150385287526,0.8178731033171082,1.494951580792998,-0.18017353307689876,0.6656925202718096,3.3794369825859847,0.6201550387596899,0.13419336381795735,0.3613659560014365,False,0.7869084044707528
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf1.00_vc0.26_dd0.05_df0.75,logit_s_l5_c01,0.8,0.75,99.0,1.0,0.26,-0.05,0.75,129.0,0.11275076460500055,0.14315253184901133,0.8192582790800058,1.5141891258107874,-0.1555779782180432,0.7247218783559449,3.1533882115341014,0.6124031007751938,0.14373432923061488,0.47552583040822577,False,0.73973983713769
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf1.00_vc0.30_dd0.03_df0.50,logit_s_l5_c01,0.8,0.75,99.0,1.0,0.3,-0.03,0.5,129.0,0.11961995886688936,0.1556054591694925,0.8053875331268524,1.462853491737423,-0.1945571890087905,0.6148318624272716,3.3690642386050875,0.6124031007751938,0.13124771846062452,0.3809977886898716,False,0.7848075283622994
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf1.00_vc0.30_dd0.03_df0.75,logit_s_l5_c01,0.8,0.75,99.0,1.0,0.3,-0.03,0.75,129.0,0.11911325735965339,0.14304246429808404,0.8599556614491098,1.6191361897217007,-0.17038347309333912,0.6990892672694905,3.3527095845176764,0.627906976744186,0.12930389229364864,0.5162887837386988,False,0.7814831403481401
logit_s_l5_c01_rq0.80_pf0.75_vx99_vf1.00_vc0.30_dd0.05_df0.50,logit_s_l5_c01,0.8,0.75,99.0,1.0,0.3,-0.05,0.5,129.0,0.11908942982618886,0.15994885595132075,0.784667463689758,1.4179671749978686,-0.1945571890087906,0.6121050084703274,3.351942285980264,0.6201550387596899,0.13648179181008963,0.3634678058403727,False,0.7813268116900934
