target_month,signal_date,p_tail_raw,tail_event,adverse_excursion,standardized_adverse,horizon,fit_count,train_rows,feature_count,risk_percentile,risk_severity,p_up,score
2016-10,2016-09-30,0.17910070196758338,0.0,-0.012857859869170318,0.46519969399284405,10,48,1260,68,0.4098360655737705,0.0,0.5,-0.0
2016-11,2016-10-31,0.30296833787579797,0.0,-0.02173893203362709,1.1319596041339277,10,48,1260,68,1.0,1.0,0.35,-1.0
2016-12,2016-11-30,0.22861650998906813,0.0,-0.007477488284027056,0.2821461046586535,10,48,1260,68,0.9180327868852459,0.5901639344262295,0.41147540983606556,-0.5901639344262295
2017-01,2016-12-29,0.18581182621615525,0.0,0.0034187713069226966,-0.21666066671583756,10,49,1260,68,0.5245901639344263,0.0,0.5,-0.0
2017-02,2017-01-31,0.18581182621615525,0.0,-0.0034874857852027485,0.20429903554381112,10,49,1260,68,0.5409836065573771,0.0,0.5,-0.0
2017-03,2017-02-28,0.18581182621615525,0.0,-0.00036525319587854543,0.03146414044864697,10,49,1260,68,0.5573770491803278,0.0,0.5,-0.0
2017-04,2017-03-31,0.19125609377046895,0.0,-0.016818675250667714,1.1456941789638158,10,50,1260,68,0.639344262295082,0.0,0.5,-0.0
2017-05,2017-04-28,0.19125609377046895,0.0,0.007827367513231431,-0.5091342396999915,10,50,1260,68,0.6557377049180327,0.0,0.5,-0.0
2017-06,2017-05-31,0.17147392927275415,0.0,-0.0027794851074378624,0.10865391081867985,10,50,1260,68,0.32786885245901637,0.0,0.5,-0.0
2017-07,2017-06-30,0.20071400032777062,0.0,-0.0039903649488768345,0.22471110118671167,10,51,1260,68,0.7868852459016393,0.0,0.5,-0.0
2017-08,2017-07-31,0.18228016830739366,1.0,-0.037190052633599424,1.9197595151492353,10,51,1260,68,0.47540983606557374,0.0,0.5,-0.0
2017-09,2017-08-31,0.19386955494124045,0.0,-0.014280962061968716,0.5969762280183374,10,51,1260,68,0.7377049180327869,0.0,0.5,-0.0
2017-10,2017-09-29,0.17575298434270858,0.0,0.018138724523871774,-0.8938591044965721,10,52,1260,68,0.36065573770491804,0.0,0.5,-0.0
2017-11,2017-10-31,0.17575298434270858,0.0,0.0014982479495317946,-0.07852649302486565,10,52,1260,68,0.3770491803278688,0.0,0.5,-0.0
2017-12,2017-11-30,0.18649251168259867,0.0,-0.004610576073574513,0.23802836438697658,10,52,1260,68,0.639344262295082,0.0,0.5,-0.0
2018-01,2017-12-28,0.1830179983912694,0.0,0.0007627572644741676,-0.02703772818555557,10,53,1260,68,0.5245901639344263,0.0,0.5,-0.0
2018-02,2018-01-31,0.1830179983912694,1.0,-0.0844087156242912,3.6779578088743894,10,53,1260,68,0.5409836065573771,0.0,0.5,-0.0
2018-03,2018-02-28,0.1704924961774612,0.0,-0.007415458553698517,0.17645658510618634,10,53,1260,68,0.32786885245901637,0.0,0.5,-0.0
2018-04,2018-03-30,0.17155503764474345,0.0,-0.019712040268795805,0.5989738944109398,10,54,1260,68,0.36065573770491804,0.0,0.5,-0.0
2018-05,2018-04-30,0.1801116556053518,0.0,-0.026160666955329703,1.0977602235210842,10,54,1260,68,0.5081967213114754,0.0,0.5,-0.0
2018-06,2018-05-31,0.1801116556053518,0.0,-0.015434125003359278,0.697957353621413,10,54,1260,68,0.5081967213114754,0.0,0.5,-0.0
2018-07,2018-06-29,0.16505659050820992,0.0,-0.02612757967826218,1.022955523900725,10,55,1260,68,0.26229508196721313,0.0,0.5,-0.0
2018-08,2018-07-31,0.22092962177885517,1.0,-0.025834702916944008,1.700519615894253,10,55,1260,68,0.9016393442622951,0.5081967213114753,0.4237704918032787,-0.5081967213114753
2018-09,2018-08-31,0.20511775368872923,0.0,-0.023364637141014555,1.2042099264613007,10,55,1260,68,0.819672131147541,0.09836065573770483,0.4852459016393443,-0.09836065573770483
2018-10,2018-09-28,0.16483347781699495,1.0,-0.07983411022862696,3.8346622478174295,10,56,1260,68,0.26229508196721313,0.0,0.5,-0.0
2018-11,2018-10-31,0.15039769673087489,0.0,-0.004168393399397563,0.10563866244495518,10,56,1260,68,0.11475409836065574,0.0,0.5,-0.0
2018-12,2018-11-30,0.18001620868477788,0.0,-0.02319598618115759,0.9998425576115963,10,56,1260,68,0.47540983606557374,0.0,0.5,-0.0
2019-01,2018-12-28,0.1643747689274868,0.0,-0.02125620188106825,0.6965623198190039,10,57,1260,68,0.2459016393442623,0.0,0.5,-0.0
2019-02,2019-01-31,0.15221313092785052,0.0,-0.015159406152058685,0.5856349704572689,10,57,1260,68,0.16393442622950818,0.0,0.5,-0.0
2019-03,2019-02-28,0.1674017300815936,0.0,-0.030897614121234263,1.2204487195858524,10,57,1260,68,0.32786885245901637,0.0,0.5,-0.0
2019-04,2019-03-29,0.1533107601384499,0.0,0.013309917205292843,-0.5677380496784199,10,58,1260,68,0.19672131147540983,0.0,0.5,-0.0
2019-05,2019-04-30,0.14883140502583983,1.0,-0.06597623587209478,2.686368783704091,10,58,1260,68,0.11475409836065574,0.0,0.5,-0.0
2019-06,2019-05-31,0.14338349662170877,0.0,0.014602668283901332,-0.5259709022380115,10,58,1260,68,0.08196721311475409,0.0,0.5,-0.0
2019-07,2019-06-28,0.1598746904217723,1.0,-0.033968258352800484,1.626794891999872,10,59,1260,68,0.26229508196721313,0.0,0.5,-0.0
2019-08,2019-07-31,0.14692788333405585,1.0,-0.05305613645360274,1.9756535550065968,10,59,1260,68,0.11475409836065574,0.0,0.5,-0.0
2019-09,2019-08-30,0.14156426047628012,0.0,-0.0021255929816961228,0.06823366454525599,10,59,1260,68,0.08196721311475409,0.0,0.5,-0.0
2019-10,2019-09-30,0.2580532831717034,0.0,-0.02296760538203968,0.9967396520326441,10,60,1260,68,0.9672131147540983,0.8360655737704916,0.37459016393442623,-0.8360655737704916
2019-11,2019-10-31,0.16095698763511881,0.0,0.0075920875026831425,-0.28189479936479034,10,60,1260,68,0.3114754098360656,0.0,0.5,-0.0
2019-12,2019-11-29,0.21370769067031836,0.0,-0.0108304892914588,0.3736183664757364,10,60,1260,68,0.8524590163934426,0.2622950819672127,0.4606557377049181,-0.2622950819672127
2020-01,2019-12-30,0.18219931467399966,0.0,-0.01830057702763188,0.771973406578867,10,61,1260,68,0.6065573770491803,0.0,0.5,-0.0
2020-02,2020-01-31,0.20098491718395214,0.0,0.0010392085432284759,-0.026969336985610236,10,61,1260,68,0.819672131147541,0.09836065573770483,0.4852459016393443,-0.09836065573770483
2020-03,2020-02-28,0.20098491718395214,1.0,-0.0978301415745525,1.9607984462647803,10,61,1260,68,0.819672131147541,0.09836065573770483,0.4852459016393443,-0.09836065573770483
2020-04,2020-03-31,0.15215715657932788,0.0,-0.0469172560155765,0.3336102902673773,10,62,1260,68,0.22950819672131148,0.0,0.5,-0.0
2020-05,2020-04-29,0.15215715657932788,0.0,-0.030402725507037376,0.475431191455761,10,62,1260,68,0.2459016393442623,0.0,0.5,-0.0
2020-06,2020-05-29,0.15215715657932788,0.0,0.019794554971898304,-0.48530457250831527,10,62,1260,68,0.26229508196721313,0.0,0.5,-0.0
2020-07,2020-06-30,0.16853519181056958,0.0,0.0005344779338922745,-0.007314036508040885,10,63,1260,68,0.4098360655737705,0.0,0.5,-0.0
2020-08,2020-07-31,0.16853519181056958,0.0,0.0,-0.0,10,63,1260,68,0.4098360655737705,0.0,0.5,-0.0
2020-09,2020-08-31,0.16853519181056958,0.0,0.007806208235516809,-0.17384663897995603,10,63,1260,68,0.4098360655737705,0.0,0.5,-0.0
2020-10,2020-09-29,0.16847549099831088,0.0,0.0046645658844017834,-0.12068107710163568,10,64,1260,68,0.36065573770491804,0.0,0.5,-0.0
2020-11,2020-10-30,0.16847549099831088,0.0,0.015262167151640416,-0.5316971836815897,10,64,1260,68,0.36065573770491804,0.0,0.5,-0.0
2020-12,2020-11-30,0.16847549099831088,0.0,0.015856999666730376,-0.4819987935780361,10,64,1260,68,0.3770491803278688,0.0,0.5,-0.0
2021-01,2020-12-30,0.16004346046768386,0.0,0.026329258507774123,-0.7094768084679421,10,65,1260,68,0.2459016393442623,0.0,0.5,-0.0
2021-02,2021-01-29,0.1593762123690357,0.0,0.024924028572443024,-0.3915583387125656,10,65,1260,68,0.21311475409836064,0.0,0.5,-0.0
2021-03,2021-02-26,0.14872136156666754,0.0,-0.017383946376174575,0.3201418627744337,10,65,1260,68,0.08196721311475409,0.0,0.5,-0.0
2021-04,2021-03-31,0.16832494025654843,0.0,0.009126270158613892,-0.32322669004241933,10,66,1260,68,0.3442622950819672,0.0,0.5,-0.0
2021-05,2021-04-30,0.17486406114836855,0.0,-0.014895595680332163,0.7120542624355505,10,66,1260,68,0.5081967213114754,0.0,0.5,-0.0
2021-06,2021-05-31,0.15601875463869058,0.0,0.0005847504059983688,-0.019869758782337283,10,66,1260,68,0.19672131147540983,0.0,0.5,-0.0
2021-07,2021-06-30,0.18938307789674735,1.0,-0.02494596405788596,1.394109691969129,10,67,1260,68,0.7540983606557377,0.0,0.5,-0.0
2021-08,2021-07-30,0.18938307789674735,0.0,-0.02012485195395486,0.8350622077563983,10,67,1260,68,0.7704918032786885,0.0,0.5,-0.0
