month,return,baseline_return,defensive_return,risk_probability,activation,defensive_shift,turnover,incremental_turnover,incremental_trade_cost,incremental_fx_cost,nav,drawdown
2016-03,-0.000825919276744696,-0.0007712014144062,0.0014080375476679396,0.8333361344537814,0.6666722689075628,0.06666722689075628,0.17221353455795776,0.13333445378151257,0.00020000168067226885,0.0,3.0912860271363254,-0.05961259339269287
2016-04,0.04299929438321528,0.043485508751146,0.0018161579471556166,0.5370076923076924,0.07401538461538482,0.007401538461538482,0.7983429173666456,0.11853137685843561,0.00017779706528765342,0.0,3.2242091450398807,-0.01917659846171671
2016-05,-0.009825397618363816,-0.0098031930029792,0.0029824561403508643,0.08784369385555157,0.0,0.0,0.6966984127796148,0.014803076923076964,2.2204615384615447e-05,0.0,3.1925300081850994,-0.028813578375226356
2016-06,0.0255573706583009,0.0255573706583009,0.01545099411113049,0.08791909042834481,0.0,0.0,0.0121023859544772,0.0,0.0,0.0,3.2741226809420345,-0.003992607019453032
2016-07,0.0149992419737254,0.0149992419737254,0.002813504823151236,0.08718232139768206,0.0,0.0,0.0470577195452076,0.0,0.0,0.0,3.323232039285147,0.0
2016-08,-0.0032175824229985,-0.0032175824229985,-0.004752361866590449,0.0860725806451613,0.0,0.0,0.0071455192462855,0.0,0.0,0.0,3.3125392662879976,-0.0032175824229985217
2016-09,0.011355187039332,0.011355187039332,0.0050051777701070055,0.08537113402061856,0.0,0.0,0.2541686577893932,0.0,0.0,0.0,3.3501537692318295,0.0
2016-10,-0.0143642762788848,-0.0143642762788848,-0.012135783387715371,0.08505367370315824,0.0,0.0,0.0179219733893257,0.0,0.0,0.0,3.3020312349138363,-0.014364276278884813
2016-11,0.0226201711821418,0.0226201711821418,-0.015414034884394745,0.08479384395132428,0.0,0.0,0.6509941484265033,0.0,0.0,0.0,3.3767237466963667,0.0
2016-12,0.0433612663576337,0.0433612663576337,0.0051203578365017766,0.08526136363636364,0.0,0.0,0.0285261693121912,0.0,0.0,0.0,3.5231427644930147,0.0
2017-01,-0.0316542946609805,-0.0316542946609805,0.0002927743295468854,0.08459007751937984,0.0,0.0,0.010239546164208,0.0,0.0,0.0,3.4116201652930513,-0.031654294660980464
2017-02,0.0038892989513981,0.0038892989513981,0.0023415091026164347,0.08393069306930695,0.0,0.0,0.0587558343804631,0.0,0.0,0.0,3.4248889760244943,-0.027888108724614558
2017-03,-0.0378117923245278,-0.0378117923245278,-0.0005840098113647496,0.08328289178266726,0.0,0.0,0.067075124426624,0.0,0.0,0.0,3.2953877853284914,-0.06464540167372346
2017-04,0.0073013206714076,0.0073013206714076,0.0019283585578215856,0.08264636657840542,0.0,0.0,0.3558991556044928,0.0,0.0,0.0,3.3194484682858145,-0.05781607780986764
2017-05,-0.0037545418697896,-0.0037545418697896,0.0018080018663244601,0.08235017154536828,0.0,0.0,0.0369364022970528,0.0,0.0,0.0,3.3069854600270263,-0.06135354679477312
