name,stage,mode,level_threshold,momentum_window,spike_threshold,max_risk_transfer,bond_share,rebalance_band,financing_rate,Full_CAGR,Full_Sharpe,Full_MDD,Full_Calmar,Validation_CAGR,Validation_Sharpe,Validation_MDD,Validation_Calmar,AvgTurnover,TotalCost
momentum_lt0.80_mw5_st0.10_rt1.00_bs0.50_rb0.05,coarse,momentum,0.8,5,0.1,1.0,0.5,0.05,0.04,0.10878031403941302,0.8167197689517578,-0.16872958904414126,0.6447020623688893,-0.004882928637089057,-0.028001616950585288,-0.13370634376123514,-0.03651979778767043,0.5885000149066266,0.2404540254514858
momentum_lt0.80_mw5_st0.10_rt1.00_bs0.50_rb0.10,coarse,momentum,0.8,5,0.1,1.0,0.5,0.1,0.04,0.11341457864900195,0.852526237424942,-0.15945437201042933,0.7112666602931647,-0.0008798068872343245,0.025482651205183025,-0.13012743016289396,-0.006761117822222258,0.5471021652628183,0.2234768233772524
momentum_lt0.80_mw5_st0.15_rt0.25_bs0.50_rb0.05,coarse,momentum,0.8,5,0.15,0.25,0.5,0.05,0.04,0.12563957633252976,0.937117859110456,-0.1295772586967835,0.9696113160298592,0.017678610446743015,0.2818072303073086,-0.10939336985017256,0.16160586762210552,0.166885780856456,0.06681718814051753
momentum_lt0.80_mw5_st0.15_rt0.25_bs0.50_rb0.10,coarse,momentum,0.8,5,0.15,0.25,0.5,0.1,0.04,0.1254726107986417,0.9311450726608707,-0.13001562033708947,0.9650579712909173,0.020834596938246186,0.32720004527019486,-0.10572051355882583,0.1970724151529328,0.1432086857534271,0.05691915887849549
momentum_lt0.80_mw5_st0.15_rt0.50_bs0.50_rb0.05,coarse,momentum,0.8,5,0.15,0.5,0.5,0.05,0.04,0.12336892538156308,0.9231852082969688,-0.1310272431107875,0.9415517143808857,0.01556999943614934,0.2522662892922981,-0.11272941861198205,0.1381183335092123,0.2522296791272307,0.10191187530220781
momentum_lt0.80_mw5_st0.15_rt0.50_bs0.50_rb0.10,coarse,momentum,0.8,5,0.15,0.5,0.5,0.1,0.04,0.12026369195955566,0.8983374474671824,-0.13117987923441743,0.9167845912149788,0.013719306712067114,0.2297029897874679,-0.10965710543129825,0.1251109689436628,0.2227415203686629,0.08964605572024827
momentum_lt0.80_mw5_st0.15_rt0.75_bs0.50_rb0.05,coarse,momentum,0.8,5,0.15,0.75,0.5,0.05,0.04,0.12065430412609812,0.8971798440861575,-0.13656491318375374,0.8834941663511532,0.011255887143765797,0.1914100088396029,-0.11709842078899124,0.09612330437870427,0.3353456734704293,0.13612960412506636
momentum_lt0.80_mw5_st0.15_rt0.75_bs0.50_rb0.10,coarse,momentum,0.8,5,0.15,0.75,0.5,0.1,0.04,0.1196540170631033,0.8950669957596736,-0.13277404803148385,0.9011852755647739,0.01199671739150121,0.20170015947909617,-0.11732023243694467,0.1022561679457037,0.30282459963875535,0.12252482190277368
momentum_lt0.80_mw5_st0.15_rt1.00_bs0.50_rb0.05,coarse,momentum,0.8,5,0.15,1.0,0.5,0.05,0.04,0.11685943404189714,0.8669225354161644,-0.14176442123805888,0.8243213143420529,0.0073557605858347586,0.1368940403216579,-0.1211247225813884,0.06072881265748318,0.42075032549742825,0.17124434352272963
momentum_lt0.80_mw5_st0.15_rt1.00_bs0.50_rb0.10,coarse,momentum,0.8,5,0.15,1.0,0.5,0.1,0.04,0.11600289124765228,0.8648478978303578,-0.14209751317618813,0.8163611639270502,0.008110674682881625,0.14749773863299342,-0.12146582504413128,0.0667733058243735,0.39814568987356785,0.16174040656590383
momentum_lt0.80_mw10_st0.05_rt0.25_bs0.50_rb0.05,coarse,momentum,0.8,10,0.05,0.25,0.5,0.05,0.04,0.12494753232022382,0.9314351640601993,-0.1314773812728378,0.9503348112854222,0.019099213845163554,0.29791122715005086,-0.11518564741197423,0.1658124451638762,0.22704750105006208,0.09155372817562765
momentum_lt0.80_mw10_st0.05_rt0.25_bs0.50_rb0.10,coarse,momentum,0.8,10,0.05,0.25,0.5,0.1,0.04,0.1273600237709136,0.949591685515886,-0.1283688403873796,0.9921412656418668,0.021709563650911257,0.3378148043245979,-0.10961348917923996,0.19805558433973194,0.18305609310803694,0.0733756914112028
momentum_lt0.80_mw10_st0.05_rt0.50_bs0.50_rb0.05,coarse,momentum,0.8,10,0.05,0.5,0.5,0.05,0.04,0.11846597545076398,0.8912404604921017,-0.15169820605838502,0.7809319472451062,0.012604649918206201,0.205777245330098,-0.12799805650599771,0.0984753226906658,0.4185137331794612,0.1703802870922358
