target_month,signal_month,signal_date,p_up,feature_variant,score,realized_10d_return,realized_up,hmm_score,train_rows,feature_count,best_iteration
2010-08,2010-07,2010-07-30,0.6097617587016702,kr_plus_global,0.7317450580111344,-0.010640881863293483,0.0,0.9999558273147828,2605,53,7
2010-09,2010-08,2010-08-31,0.6056283487289315,kr_plus_global,0.7041889915262097,0.039447728425583195,1.0,-0.999927191287791,2627,53,7
2010-10,2010-09,2010-09-30,0.615474907518061,kr_plus_global,0.7698327167870733,0.015394026098766167,1.0,0.9999999849912458,2646,53,8
2010-11,2010-10,2010-10-29,0.6008508674457456,kr_plus_global,0.6723391163049705,0.016700719171326428,1.0,0.9700494389794669,2667,53,19
2010-12,2010-11,2010-11-30,0.581766805738288,kr_plus_global,0.5451120382552532,0.048953574787300225,1.0,0.9999954651149005,2689,53,31
2011-01,2010-12,2010-12-30,0.800408965278768,kr_plus_global,1.0,0.02813093657383381,1.0,0.999999240147232,2711,53,40
2011-02,2011-01,2011-01-31,0.6659243864013714,kr_plus_global,1.0,-0.042484436287074434,0.0,0.9590579648091635,2732,53,61
2011-03,2011-02,2011-02-28,0.5828120298073723,kr_plus_global,0.5520801987158157,-0.008234651170589746,0.0,-0.9999483228957962,2749,53,69
2011-04,2011-03,2011-03-31,0.7774313801747657,kr_plus_global,1.0,0.016561388181291825,1.0,0.9999999701107362,2771,53,39
2011-05,2011-04,2011-04-29,0.7822709127637758,kr_plus_global,1.0,-0.045042238650195854,0.0,0.9876717608874178,2792,53,51
2011-06,2011-05,2011-05-31,0.5148908009050712,kr_plus_global,0.09927200603380815,-0.030117513671188867,0.0,-7.5093018357938895e-06,2812,53,25
2011-07,2011-06,2011-06-30,0.7396163670559872,kr_plus_global,1.0,0.007929227340887524,1.0,3.030605015313468e-05,2833,53,26
2011-08,2011-07,2011-07-29,0.7513791792190242,kr_plus_global,1.0,-0.16741428143718828,0.0,0.8771829555102887,2854,53,25
2011-09,2011-08,2011-08-31,0.5751855921248408,kr_plus_global,0.5012372808322718,-0.018491667142093604,0.0,-0.9999999999996334,2876,53,12
2011-10,2011-09,2011-09-30,0.5316405370281483,kr_plus_global,0.2109369135209886,0.05601219101087951,1.0,-0.9999999999956777,2896,53,10
2011-11,2011-10,2011-10-31,0.5890199589752564,kr_plus_global,0.5934663931683759,-0.011503234798902806,0.0,0.9995197778185172,2916,53,1
2011-12,2011-11,2011-11-30,0.5527928927305784,kr_plus_global,0.3519526182038561,0.0034921892240424857,1.0,-0.9999970391575157,2938,53,4
2012-01,2011-12,2011-12-29,0.621788878400521,kr_plus_global,0.8119258560034733,0.03220480434620776,1.0,-0.9995996294931017,2959,53,5
2012-02,2012-01,2012-01-31,0.6229654231506084,kr_plus_global,0.8197694876707229,0.019923603369249587,1.0,0.00014194094272017098,2979,53,5
2012-03,2012-02,2012-02-29,0.5942623203957483,kr_plus_global,0.6284154693049889,0.011820976069195854,1.0,1.4307973161211472e-05,3000,53,3
2012-04,2012-03,2012-03-30,0.5950353664585635,kr_plus_global,0.6335691097237566,-0.0053652912062636116,0.0,-0.4381717163726361,3021,53,4
2012-05,2012-04,2012-04-30,0.5933017745592482,kr_plus_global,0.6220118303949878,-0.04423093478374385,0.0,-4.1209174966249745e-05,3041,53,1
2012-06,2012-05,2012-05-31,0.5834514727373242,kr_plus_global,0.5563431515821615,0.012854599711602077,1.0,-0.7339176440395899,3062,53,1
2012-07,2012-06,2012-06-29,0.5941612876310169,kr_plus_global,0.627741917540113,-0.02520894229530235,0.0,0.0011531947552437271,3082,53,1
2012-08,2012-07,2012-07-31,0.5944747217086933,kr_plus_global,0.6298314780579555,0.04127623517376189,1.0,0.047683108219376165,3104,53,1
2012-09,2012-08,2012-08-31,0.5899854487612237,kr_plus_global,0.5999029917414915,0.05922229014500213,1.0,0.0009541662441581545,3126,53,1
2012-10,2012-09,2012-09-28,0.5779412825529577,kr_plus_global,0.5196085503530516,-0.032116840976731176,0.0,0.6638721321764056,3146,53,1
2012-11,2012-10,2012-10-31,0.5937454312082986,kr_plus_global,0.6249695413886573,-0.011155503270179667,0.0,-0.00010630953774833382,3167,53,2
2012-12,2012-11,2012-11-30,0.5980610884658387,kr_plus_global,0.6537405897722581,0.04050075148880783,1.0,0.01057563466392345,3189,53,2
2013-01,2012-12,2012-12-28,0.5936047065501928,kr_plus_global,0.6240313770012855,-0.006200755949406278,0.0,0.9999986096546913,3207,53,3
2013-02,2013-01,2013-01-31,0.5935190833818901,kr_plus_global,0.6234605558792672,0.015552836179886675,1.0,-0.001007368472962976,3229,53,3
2013-03,2013-02,2013-02-28,0.5930661225902598,kr_plus_global,0.6204408172683988,-0.02716205155399265,0.0,0.425536496327962,3248,53,1
2013-04,2013-03,2013-03-29,0.5873482149563032,kr_plus_global,0.5823214330420212,-0.045557152520240285,0.0,-0.00010923705072518665,3268,57,1
2013-05,2013-04,2013-04-30,0.6154112302846648,kr_plus_global,0.7694082018977655,0.001367565033173923,1.0,-5.19621218521243e-06,3290,62,9
2013-06,2013-05,2013-05-31,0.6923124752864562,kr_plus_global,1.0,-0.06275108911949989,0.0,0.9999676730402954,3311,64,94
2013-07,2013-06,2013-06-28,0.5877417318585216,kr_plus_global,0.5849448790568109,0.0024829675948072616,1.0,-0.17769474362518808,3330,72,1
2013-08,2013-07,2013-07-31,0.6828801608507059,kr_plus_global,1.0,0.0024218885016238367,1.0,0.9881646147102694,3353,72,27
2013-09,2013-08,2013-08-30,0.6936051024054347,kr_plus_global,1.0,0.036290943840903145,1.0,-0.9703811360724426,3374,72,16
2013-10,2013-09,2013-09-30,0.4446958829849778,kr_plus_global,-0.3686941134334813,0.028187748614441288,1.0,0.9999987951031263,3392,72,37
2013-11,2013-10,2013-10-31,0.5327917846362173,kr_plus_global,0.21861189757478233,-0.031647811292572214,0.0,0.996499097766131,3413,72,20
2013-12,2013-11,2013-11-29,0.6136569286236978,kr_plus_global,0.7577128574913188,-0.04380089046134805,0.0,-0.427699588801811,3434,72,18
2014-01,2013-12,2013-12-30,0.5837347284179728,kr_plus_global,0.5582315227864854,-0.037134477489857765,0.0,-0.9969893441151843,3454,72,16
2014-02,2014-01,2014-01-29,0.5749852015897978,kr_plus_global,0.4999013439319855,-0.00019562924709592977,0.0,-0.9997935234431602,3474,75,2
2014-03,2014-02,2014-02-28,0.5662916156331134,kr_plus_global,0.4419441042207558,-0.03367346472271038,0.0,0.999866281224896,3494,75,11
2014-04,2014-03,2014-03-31,0.6108983668687161,kr_plus_global,0.7393224457914409,0.009042219848546251,1.0,0.12131955041056086,3515,75,12
2014-05,2014-04,2014-04-30,0.3392373875520146,kr_plus_global,-1.0,0.027042896889025503,1.0,0.7899422708705641,3537,75,113
2014-06,2014-05,2014-05-30,0.5976100613496667,kr_plus_global,0.650733742331111,-0.0013460182901907647,0.0,0.06044489246462708,3556,75,8
2014-07,2014-06,2014-06-30,0.5773019706965606,kr_plus_global,0.5153464713104043,-0.010769089571904922,0.0,0.0006888604846029581,3575,75,6
2014-08,2014-07,2014-07-31,0.5329725625018915,kr_plus_global,0.2198170833459434,-0.016672791950305466,0.0,0.08676668998212267,3598,75,5
2014-09,2014-08,2014-08-29,0.4398113915929679,kr_plus_global,-0.40125738938021405,-0.005665035736072688,0.0,0.0010795760722366195,3618,75,45
2014-10,2014-09,2014-09-30,0.5402610961178234,kr_plus_global,0.26840730745215574,-0.05289849572570715,0.0,-0.002896325283135891,3637,75,4
2014-11,2014-10,2014-10-31,0.5770383223377398,kr_plus_global,0.5135888155849319,-0.008610933154640454,0.0,-0.002207069065493419,3658,75,136
2014-12,2014-11,2014-11-28,0.5806789190186978,kr_plus_global,0.5378594601246522,-0.025509234978924322,0.0,-0.0025975364946682366,3678,75,122
2015-01,2014-12,2014-12-30,0.29175016333173126,kr_plus_global,-1.0,0.008917582300186577,1.0,-0.0007970613631138592,3699,75,264
2015-02,2015-01,2015-01-30,0.395747653670755,kr_plus_global,-0.6950156421949668,-0.004732786178759829,0.0,0.00041154408327514943,3720,75,187
