target_month,signal_date,factor_name,score,p_up,realized_10d_return,realized_up
2018-02,2018-01-31,duration_aware_hsmm,0.697611062750238,0.848805531375119,-0.0499925430577941,0.0
2018-03,2018-02-28,duration_aware_hsmm,-0.9999937618887471,3.1190556264437674e-06,0.02272003591703098,1.0
2018-04,2018-03-30,duration_aware_hsmm,0.9999995677390979,0.9999997838695489,0.00015655293183636232,1.0
2018-05,2018-04-30,duration_aware_hsmm,-0.6987963352879261,0.15060183235603697,-0.021362253289561428,0.0
2018-06,2018-05-31,duration_aware_hsmm,-0.2999988910471495,0.35000055447642525,-0.015434125003359278,0.0
2018-07,2018-06-29,duration_aware_hsmm,0.40000028546854044,0.7000001427342702,-0.003328069824965252,0.0
2018-08,2018-07-31,duration_aware_hsmm,-0.49780988371024537,0.2510950581448773,-0.021473046748283098,0.0
2018-09,2018-08-31,duration_aware_hsmm,0.8829921517899302,0.9414960758949651,-0.006508713245339637,0.0
2018-10,2018-09-28,duration_aware_hsmm,0.29843503657658665,0.6492175182882933,-0.07850635320101396,0.0
2018-11,2018-10-31,duration_aware_hsmm,-0.999999999999998,9.992007221626409e-16,0.0187569913201171,1.0
2018-12,2018-11-30,duration_aware_hsmm,0.7809967086465669,0.8904983543232834,-0.021170793596115844,0.0
2019-01,2018-12-28,duration_aware_hsmm,-0.999992550633308,3.724683345973645e-06,0.03611768604268262,1.0
2019-02,2019-01-31,duration_aware_hsmm,0.9999996844788301,0.9999998422394151,-0.004134655352789007,0.0
2019-03,2019-02-28,duration_aware_hsmm,0.9906486379414042,0.9953243189707022,-0.01353962668353248,0.0
2019-04,2019-03-29,duration_aware_hsmm,-0.29362887876785587,0.3531855606160721,0.03992934626814182,1.0
2019-05,2019-04-30,duration_aware_hsmm,0.7298657592427625,0.8649328796213813,-0.06597623587209478,0.0
2019-06,2019-05-31,duration_aware_hsmm,-0.9999945272423209,2.736378839574005e-06,0.025032963003965847,1.0
2019-07,2019-06-28,duration_aware_hsmm,-0.40069788366517023,0.2996510581674149,-0.016354946758971534,0.0
2019-08,2019-07-31,duration_aware_hsmm,-0.999878176058636,6.091197068197607e-05,-0.04386948964483672,0.0
2019-09,2019-08-30,duration_aware_hsmm,-0.9999777808431245,1.1109578437751289e-05,0.04966186504927972,1.0
2019-10,2019-09-30,duration_aware_hsmm,0.9999986399172878,0.9999993199586439,0.010025303965944365,1.0
2019-11,2019-10-31,duration_aware_hsmm,0.9949814786218674,0.9974907393109337,0.02566884437000816,1.0
2019-12,2019-11-29,duration_aware_hsmm,-0.00073673634874611,0.4996316318256269,0.04873643484263934,1.0
2020-01,2019-12-30,duration_aware_hsmm,0.9998432171583769,0.9999216085791884,0.019140210805826063,1.0
2020-02,2020-01-31,duration_aware_hsmm,-0.9999950299941628,2.485002918606316e-06,0.061839559999288474,1.0
2020-03,2020-02-28,duration_aware_hsmm,-0.9999999999290676,3.546618554395309e-11,-0.0978301415745525,0.0
2020-04,2020-03-31,duration_aware_hsmm,-1.0,0.0,0.04463361492616591,1.0
2020-05,2020-04-29,duration_aware_hsmm,0.40000000634959165,0.7000000031747958,-0.01084439910021795,0.0
2020-06,2020-05-29,duration_aware_hsmm,0.9991308749379776,0.9995654374689888,0.05004679792612854,1.0
2020-07,2020-06-30,duration_aware_hsmm,-0.2999998130234886,0.35000009348825567,0.044709642437235075,1.0
2020-08,2020-07-31,duration_aware_hsmm,-0.4014276767525154,0.29928616162374233,0.06648832198246168,1.0
