signal_month,horizon,probability,raw_probability,calibration_method,train_rows,feature_count,fit_end_month,max_label_month,best_iteration
2017-11,6,0.4921479772320801,0.431837960425464,platt_recent_validation,134,47,2017-05,2017-11,31
2017-12,1,0.5000526573405398,0.504450284767055,platt_recent_validation,140,47,2017-11,2017-12,1
2017-12,3,0.48865466929498474,0.38389854729828765,platt_recent_validation,138,47,2017-09,2017-12,28
2017-12,6,0.5135538570123437,0.5297967313719989,platt_recent_validation,135,47,2017-06,2017-12,16
2018-01,1,0.5005707414491091,0.5147229479969019,platt_recent_validation,141,47,2017-12,2018-01,3
2018-01,3,0.4194143091222202,0.29814590838487204,platt_recent_validation,139,47,2017-10,2018-01,113
2018-01,6,0.49996989096831573,0.5008722069672144,platt_recent_validation,136,47,2017-07,2018-01,1
2018-02,1,0.4999650449010592,0.49777281961107844,platt_recent_validation,142,47,2018-01,2018-02,4
2018-02,3,0.48563573775812213,0.31001631399784546,platt_recent_validation,140,47,2017-11,2018-02,60
2018-02,6,0.5352359668109594,0.5609828360540459,platt_recent_validation,137,47,2017-08,2018-02,29
2018-03,1,0.4999600940088597,0.49730605155710184,platt_recent_validation,143,47,2018-02,2018-03,1
2018-03,3,0.5854184504409297,0.5876605619761462,platt_recent_validation,141,47,2017-12,2018-03,81
2018-03,6,0.505685777790914,0.5655756650774645,platt_recent_validation,138,47,2017-09,2018-03,16
2018-04,1,0.4994701520732769,0.4866129575118188,platt_recent_validation,144,47,2018-03,2018-04,2
2018-04,3,0.5118134401128439,0.5160410699330094,platt_recent_validation,142,47,2018-01,2018-04,24
2018-04,6,0.49873820246793055,0.5757557588496948,platt_recent_validation,139,47,2017-10,2018-04,26
2018-05,1,0.49994371997339127,0.5052224762645439,platt_recent_validation,144,47,2018-04,2018-05,1
2018-05,3,0.4997542440183895,0.5156286505142296,platt_recent_validation,143,47,2018-02,2018-05,5
2018-05,6,0.49985063414080894,0.5043908230932852,platt_recent_validation,140,47,2017-11,2018-05,1
2018-06,1,0.4999760228916991,0.49827874302674213,platt_recent_validation,144,47,2018-05,2018-06,3
2018-06,3,0.4964244632188894,0.4759132224399742,platt_recent_validation,144,47,2018-03,2018-06,50
2018-06,6,0.5194752874255611,0.5538640179844773,platt_recent_validation,141,47,2017-12,2018-06,28
2018-07,1,0.49883631270846435,0.4775753495269125,platt_recent_validation,144,47,2018-06,2018-07,4
2018-07,3,0.5490621661002681,0.6210854838410862,platt_recent_validation,144,47,2018-04,2018-07,75
2018-07,6,0.5244140803755984,0.592217345444438,platt_recent_validation,142,47,2018-01,2018-07,26
2018-08,1,0.5000551697223072,0.5079812557471165,platt_recent_validation,144,47,2018-07,2018-08,1
2018-08,3,0.5488719062967519,0.5424622283168515,platt_recent_validation,144,47,2018-05,2018-08,60
2018-08,6,0.4999703950686858,0.4922660401544926,platt_recent_validation,143,47,2018-02,2018-08,1
2018-09,1,0.5000110906439,0.5052128216785292,platt_recent_validation,144,47,2018-08,2018-09,1
2018-09,3,0.5322857574188721,0.4655671093142679,platt_recent_validation,144,47,2018-06,2018-09,120
2018-09,6,0.5002910001864157,0.5056063795462484,platt_recent_validation,144,47,2018-03,2018-09,4
2018-10,1,0.5000634080971254,0.49716498492651034,platt_recent_validation,144,47,2018-09,2018-10,1
2018-10,3,0.44202230513926893,0.3341561894003279,platt_recent_validation,144,47,2018-07,2018-10,78
2018-10,6,0.500098888681052,0.4953246634867344,platt_recent_validation,144,47,2018-04,2018-10,20
2018-11,1,0.5005325965834083,0.4891550198493795,platt_recent_validation,144,47,2018-10,2018-11,1
2018-11,3,0.5216855965567939,0.550729125957565,platt_recent_validation,144,47,2018-08,2018-11,55
2018-11,6,0.5000643407782672,0.5091779406995041,platt_recent_validation,144,47,2018-05,2018-11,6
2018-12,1,0.49982448173514693,0.5145543409233074,platt_recent_validation,144,47,2018-11,2018-12,6
2018-12,3,0.6146473852998162,0.6100570077041717,platt_recent_validation,144,47,2018-09,2018-12,100
2018-12,6,0.5000046825352871,0.5018879546827743,platt_recent_validation,144,47,2018-06,2018-12,1
2019-01,1,0.4974459165641592,0.5101098123296188,platt_recent_validation,144,47,2018-12,2019-01,21
2019-01,3,0.6727036017965915,0.7091802000987772,platt_recent_validation,144,47,2018-10,2019-01,180
2019-01,6,0.4999171013124492,0.5091022611475344,platt_recent_validation,144,47,2018-07,2019-01,1
2019-02,1,0.49803659759728025,0.520701372229699,platt_recent_validation,144,47,2019-01,2019-02,29
