target_month,signal_date,factor_name,p_up,score,p_risk,switches_in_window,realized_10d_return,realized_up
2014-02,2014-01-29,jump_downside_sortino,0.07433476193238153,-0.8513304761352369,0.9256652380676185,11,-0.00019562924709592977,0.0
2014-03,2014-02-28,jump_downside_sortino,0.97,0.94,0.03,8,-0.03367346472271038,0.0
2014-04,2014-03-31,jump_downside_sortino,0.97,0.94,0.03,8,0.009042219848546251,1.0
2014-05,2014-04-30,jump_downside_sortino,0.97,0.94,0.03,8,0.027042896889025503,1.0
2014-06,2014-05-30,jump_downside_sortino,0.97,0.94,0.03,8,-0.0013460182901907647,0.0
2014-07,2014-06-30,jump_downside_sortino,0.877976844671823,0.755953689343646,0.12202315532817697,9,-0.010769089571904922,0.0
2014-08,2014-07-31,jump_downside_sortino,0.97,0.94,0.03,9,-0.016672791950305466,0.0
2014-09,2014-08-29,jump_downside_sortino,0.9042435992919533,0.8084871985839066,0.09575640070804672,9,-0.005665035736072688,0.0
2014-10,2014-09-30,jump_downside_sortino,0.7884443587065371,0.5768887174130741,0.21155564129346294,9,-0.05289849572570715,0.0
2014-11,2014-10-31,jump_downside_sortino,0.1108677182774529,-0.7782645634450942,0.8891322817225471,14,-0.008610933154640454,0.0
2014-12,2014-11-28,jump_downside_sortino,0.97,0.94,0.03,17,-0.025509234978924322,0.0
2015-01,2014-12-30,jump_downside_sortino,0.9395215493620772,0.8790430987241544,0.06047845063792276,25,0.008917582300186577,1.0
2015-02,2015-01-30,jump_downside_sortino,0.97,0.94,0.03,23,-0.004732786178759829,0.0
2015-03,2015-02-27,jump_downside_sortino,0.97,0.94,0.03,22,0.0035411861362610875,1.0
2015-04,2015-03-31,jump_downside_sortino,0.965594463858518,0.931188927717036,0.034405536141482035,27,0.02873656806255731,1.0
2015-05,2015-04-30,jump_downside_sortino,0.97,0.94,0.03,25,-0.020637851952848618,0.0
2015-06,2015-05-29,jump_downside_sortino,0.030000000000000027,-0.94,0.97,26,-0.03877151069052209,0.0
2015-07,2015-06-30,jump_downside_sortino,0.14626073597761668,-0.7074785280447666,0.8537392640223833,30,-0.013913443131731484,0.0
2015-08,2015-07-31,jump_downside_sortino,0.030000000000000027,-0.94,0.97,26,-0.02982917654215589,0.0
2015-09,2015-08-31,jump_downside_sortino,0.030000000000000027,-0.94,0.97,25,0.004965276012869335,1.0
2015-10,2015-09-30,jump_downside_sortino,0.030000000000000027,-0.94,0.97,24,0.04928098742105824,1.0
2015-11,2015-10-30,jump_downside_sortino,0.97,0.94,0.03,24,-0.03290092049934357,0.0
2015-12,2015-11-30,jump_downside_sortino,0.030000000000000027,-0.94,0.97,24,-0.02429548590131092,0.0
2016-01,2015-12-30,jump_downside_sortino,0.042492886022092335,-0.9150142279558153,0.9575071139779077,23,-0.04333515046887171,0.0
2016-02,2016-01-29,jump_downside_sortino,0.030000000000000027,-0.94,0.97,23,0.0036129199392633815,1.0
2016-03,2016-02-29,jump_downside_sortino,0.97,0.94,0.03,23,0.02799816586009718,1.0
2016-04,2016-03-31,jump_downside_sortino,0.97,0.94,0.03,22,0.011019512636409212,1.0
2016-05,2016-04-29,jump_downside_sortino,0.8982473870374944,0.7964947740749888,0.10175261296250562,21,-0.016360031195502334,0.0
