,signal_date,factor_name,p_up,score,p_extra_trees,p_hist_gradient_boosting,p_logistic,train_rows,feature_count,realized_10d_return,realized_up
2011-10,2011-09-30,technical_ml_ensemble,0.3744327697159949,-0.8371148685600343,0.29722050955922424,0.5233478678948635,0.30272993169389706,1260.0,53.0,0.05601219101087951,1.0
2011-11,2011-09-30,technical_ml_ensemble,0.3744327697159949,-0.8371148685600343,0.29722050955922424,0.5233478678948635,0.30272993169389706,1260.0,53.0,0.05601219101087951,1.0
2011-12,2011-09-30,technical_ml_ensemble,0.3744327697159949,-0.8371148685600343,0.29722050955922424,0.5233478678948635,0.30272993169389706,1260.0,53.0,0.05601219101087951,1.0
2012-01,2011-12-29,technical_ml_ensemble,0.4030025352288688,-0.6466497651408747,0.3388884644438487,0.3663948163545576,0.5037243248882,1260.0,53.0,0.03220480434620776,1.0
2012-02,2011-12-29,technical_ml_ensemble,0.4030025352288688,-0.6466497651408747,0.3388884644438487,0.3663948163545576,0.5037243248882,1260.0,53.0,0.03220480434620776,1.0
2012-03,2011-12-29,technical_ml_ensemble,0.4030025352288688,-0.6466497651408747,0.3388884644438487,0.3663948163545576,0.5037243248882,1260.0,53.0,0.03220480434620776,1.0
2012-04,2012-03-30,technical_ml_ensemble,0.40192072310007115,-0.6538618459995257,0.4024561043208202,0.38318262775223155,0.42012343722716156,1260.0,53.0,-0.0053652912062636116,0.0
2012-05,2012-03-30,technical_ml_ensemble,0.40192072310007115,-0.6538618459995257,0.4024561043208202,0.38318262775223155,0.42012343722716156,1260.0,53.0,-0.0053652912062636116,0.0
2012-06,2012-03-30,technical_ml_ensemble,0.40192072310007115,-0.6538618459995257,0.4024561043208202,0.38318262775223155,0.42012343722716156,1260.0,53.0,-0.0053652912062636116,0.0
2012-07,2012-06-29,technical_ml_ensemble,0.47244031135384407,-0.18373125764103956,0.4202889422321083,0.5220521704020884,0.47497982142733564,1260.0,53.0,-0.02520894229530235,0.0
2012-08,2012-06-29,technical_ml_ensemble,0.47244031135384407,-0.18373125764103956,0.4202889422321083,0.5220521704020884,0.47497982142733564,1260.0,53.0,-0.02520894229530235,0.0
2012-09,2012-06-29,technical_ml_ensemble,0.47244031135384407,-0.18373125764103956,0.4202889422321083,0.5220521704020884,0.47497982142733564,1260.0,53.0,-0.02520894229530235,0.0
2012-10,2012-09-28,technical_ml_ensemble,0.3780460379622547,-0.8130264135849685,0.31736528451337537,0.29529487205031757,0.5214779573230711,1260.0,53.0,-0.032116840976731176,0.0
2012-11,2012-09-28,technical_ml_ensemble,0.3780460379622547,-0.8130264135849685,0.31736528451337537,0.29529487205031757,0.5214779573230711,1260.0,53.0,-0.032116840976731176,0.0
2012-12,2012-09-28,technical_ml_ensemble,0.3780460379622547,-0.8130264135849685,0.31736528451337537,0.29529487205031757,0.5214779573230711,1260.0,53.0,-0.032116840976731176,0.0
2013-01,2012-12-28,technical_ml_ensemble,0.633184391089659,0.8878959405977265,0.5627465208300321,0.6986690759212919,0.6381375765176529,1260.0,54.0,-0.006200755949406278,0.0
2013-02,2012-12-28,technical_ml_ensemble,0.633184391089659,0.8878959405977265,0.5627465208300321,0.6986690759212919,0.6381375765176529,1260.0,54.0,-0.006200755949406278,0.0
2013-03,2012-12-28,technical_ml_ensemble,0.633184391089659,0.8878959405977265,0.5627465208300321,0.6986690759212919,0.6381375765176529,1260.0,54.0,-0.006200755949406278,0.0
2013-04,2013-03-29,technical_ml_ensemble,0.5833861654130318,0.5559077694202119,0.6001140386151809,0.5328190406583215,0.617225416965593,1260.0,57.0,-0.045557152520240285,0.0
2013-05,2013-03-29,technical_ml_ensemble,0.5833861654130318,0.5559077694202119,0.6001140386151809,0.5328190406583215,0.617225416965593,1260.0,57.0,-0.045557152520240285,0.0
2013-06,2013-03-29,technical_ml_ensemble,0.5833861654130318,0.5559077694202119,0.6001140386151809,0.5328190406583215,0.617225416965593,1260.0,57.0,-0.045557152520240285,0.0
2013-07,2013-06-28,technical_ml_ensemble,0.48466561697692256,-0.10222922015384958,0.5897074062645904,0.5423659748202169,0.3219234698459602,1260.0,57.0,0.0024829675948072616,1.0
2013-08,2013-06-28,technical_ml_ensemble,0.48466561697692256,-0.10222922015384958,0.5897074062645904,0.5423659748202169,0.3219234698459602,1260.0,57.0,0.0024829675948072616,1.0
2013-09,2013-06-28,technical_ml_ensemble,0.48466561697692256,-0.10222922015384958,0.5897074062645904,0.5423659748202169,0.3219234698459602,1260.0,57.0,0.0024829675948072616,1.0
2013-10,2013-09-30,technical_ml_ensemble,0.3143263591773569,-1.0,0.32055692278695813,0.3550732606431325,0.26734889410198004,1260.0,57.0,0.028187748614441288,1.0
2013-11,2013-09-30,technical_ml_ensemble,0.3143263591773569,-1.0,0.32055692278695813,0.3550732606431325,0.26734889410198004,1260.0,57.0,0.028187748614441288,1.0
2013-12,2013-09-30,technical_ml_ensemble,0.3143263591773569,-1.0,0.32055692278695813,0.3550732606431325,0.26734889410198004,1260.0,57.0,0.028187748614441288,1.0
2014-01,2013-12-30,technical_ml_ensemble,0.4384795656053336,-0.41013622929777616,0.44637477076606713,0.4394704563297509,0.42959346972018286,1260.0,57.0,-0.037134477489857765,0.0
2014-02,2013-12-30,technical_ml_ensemble,0.4384795656053336,-0.41013622929777616,0.44637477076606713,0.4394704563297509,0.42959346972018286,1260.0,57.0,-0.037134477489857765,0.0
