date,market,category,sell_volume,buy_volume,net_buy_volume,sell_value_krw,buy_value_krw,net_buy_value_krw
2002-04-10,ALL,차익,3302484,1584600,-1717884,86094897990,42965579850,-43129318140
2002-04-10,ALL,비차익,4558129,2642934,-1915195,133451852530,106277505980,-27174346550
2002-04-10,ALL,전체,7860613,4227534,-3633079,219546750520,149243085830,-70303664690
2002-04-11,ALL,차익,15767467,4475400,-11292067,393791349610,117240536100,-276550813510
2002-04-11,ALL,비차익,14950798,11927971,-3022827,420187285370,361253831960,-58933453410
2002-04-11,ALL,전체,30718265,16403371,-14314894,813978634980,478494368060,-335484266920
2002-04-12,ALL,차익,3663600,1562000,-2101600,97472504800,44207278150,-53265226650
2002-04-12,ALL,비차익,4766773,2558486,-2208287,148685316750,105818326920,-42866989830
2002-04-12,ALL,전체,8430373,4120486,-4309887,246157821550,150025605070,-96132216480
2002-04-15,ALL,차익,982124,970615,-11509,29427269610,29884135780,456866170
2002-04-15,ALL,비차익,1658668,2086671,428003,55256403950,75023126980,19766723030
2002-04-15,ALL,전체,2640792,3057286,416494,84683673560,104907262760,20223589200
2002-04-16,ALL,차익,1228114,2792370,1564256,40650416200,74091930300,33441514100
2002-04-16,ALL,비차익,1472237,2731024,1258787,49610145960,98985287710,49375141750
2002-04-16,ALL,전체,2700351,5523394,2823043,90260562160,173077218010,82816655850
2002-04-17,ALL,차익,930200,7562774,6632574,25248015500,216902093380,191654077880
2002-04-17,ALL,비차익,1664631,6931932,5267301,62495835400,227116106090,164620270690
2002-04-17,ALL,전체,2594831,14494706,11899875,87743850900,444018199470,356274348570
2002-04-18,ALL,차익,637460,1528757,891297,20455699700,46677628930,26221929230
2002-04-18,ALL,비차익,4110349,4653762,543413,140518146800,147070441030,6552294230
2002-04-18,ALL,전체,4747809,6182519,1434710,160973846500,193748069960,32774223460
2002-04-19,ALL,차익,1980647,1287640,-693007,58021422770,38212037200,-19809385570
2002-04-19,ALL,비차익,5926236,2608236,-3318000,199219185510,88490371700,-110728813810
2002-04-19,ALL,전체,7906883,3895876,-4011007,257240608280,126702408900,-130538199380
2002-04-22,ALL,차익,1087302,5538240,4450938,36515591120,171238746450,134723155330
2002-04-22,ALL,비차익,5500038,7201639,1701601,167138532500,239692842100,72554309600
2002-04-22,ALL,전체,6587340,12739879,6152539,203654123620,410931588550,207277464930
2002-04-23,ALL,차익,1289610,1825596,535986,38006112900,55164207310,17158094410
2002-04-23,ALL,비차익,4717388,2510395,-2206993,201898316080,91261638790,-110636677290
2002-04-23,ALL,전체,6006998,4335991,-1671007,239904428980,146425846100,-93478582880
2002-04-24,ALL,차익,793001,1209482,416481,28931211860,35302939270,6371727410
2002-04-24,ALL,비차익,1629139,2514302,885163,58142518280,93683656250,35541137970
2002-04-24,ALL,전체,2422140,3723784,1301644,87073730140,128986595520,41912865380
2002-04-25,ALL,차익,479250,2734368,2255118,12916240270,76263176710,63346936440
2002-04-25,ALL,비차익,2904447,3608213,703766,114599953110,132827087550,18227134440
2002-04-25,ALL,전체,3383697,6342581,2958884,127516193380,209090264260,81574070880
2002-04-26,ALL,차익,1086057,1006510,-79547,30711946580,28530660250,-2181286330
2002-04-26,ALL,비차익,2872781,3971170,1098389,92013712270,135963164550,43949452280
2002-04-26,ALL,전체,3958838,4977680,1018842,122725658850,164493824800,41768165950
2002-04-29,ALL,차익,1980543,787914,-1192629,61415596870,23333233470,-38082363400
2002-04-29,ALL,비차익,2542992,2994454,451462,77630422450,110969947550,33339525100
2002-04-29,ALL,전체,4523535,3782368,-741167,139046019320,134303181020,-4742838300
2002-04-30,ALL,차익,2241867,561050,-1680817,53987947130,15094776200,-38893170930
2002-04-30,ALL,비차익,2728546,4169611,1441065,90907728020,128266896690,37359168670
2002-04-30,ALL,전체,4970413,4730661,-239752,144895675150,143361672890,-1534002260
2002-05-02,ALL,차익,3048425,198190,-2850235,86264169160,5813409650,-80450759510
2002-05-02,ALL,비차익,4630177,1446351,-3183826,148223748600,52705384410,-95518364190
2002-05-02,ALL,전체,7678602,1644541,-6034061,234487917760,58518794060,-175969123700
2002-05-03,ALL,차익,5035772,2014330,-3021442,132311976170,57131218800,-75180757370
2002-05-03,ALL,비차익,5044200,3511396,-1532804,151952897000,115964534550,-35988362450
2002-05-03,ALL,전체,10079972,5525726,-4554246,284264873170,173095753350,-111169119820
2002-05-06,ALL,차익,1185710,252920,-932790,32178615350,7242520750,-24936094600
2002-05-06,ALL,비차익,2656044,3165411,509367,82986388590,84232662550,1246273960
2002-05-06,ALL,전체,3841754,3418331,-423423,115165003940,91475183300,-23689820640
2002-05-07,ALL,차익,982940,2427145,1444205,25411174550,60743870470,35332695920
2002-05-07,ALL,비차익,1214493,3555700,2341207,43985906700,117146251480,73160344780
2002-05-07,ALL,전체,2197433,5982845,3785412,69397081250,177890121950,108493040700
2002-05-08,ALL,차익,1414820,566107,-848713,38852933950,15957909570,-22895024380
2002-05-08,ALL,비차익,990696,1933048,942352,32820312300,69474179060,36653866760
2002-05-08,ALL,전체,2405516,2499155,93639,71673246250,85432088630,13758842380
2002-05-09,ALL,차익,10268962,3008418,-7260544,261816553510,83013942920,-178802610590
