month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,forecast_vol,leverage,risk_score,w_KODEX200,w_BOND,w_GLD,w_USO
2017-06,0.00139721720905861,0.00139721720905861,3.1462916745330407,-0.03452888413464261,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2017-07,0.0008139061682461701,0.0008139061682461701,3.148852460734045,-0.033743081238176265,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2017-08,0.0009294220156839117,0.0009294220156839117,3.1517790735351916,-0.03284502078507212,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2017-09,-0.0017410481109628728,-0.0017410481109628728,3.1462916745330407,-0.03452888413464261,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2017-10,0.04393673941189624,0.046936739411896244,3.284529471950817,0.0,1.0,0.003,0.0,,1.0,0.0,1.0,0.0,0.0,0.0
2017-11,0.0028013477878697816,0.005801347787869782,3.29373058132126,0.0,1.0,0.003,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2017-12,0.0011069680727104902,0.0011069680727104902,3.297376635914893,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2018-01,-0.006809055461793778,-0.006809055461793778,3.2749246155225253,-0.006809055461793889,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2018-02,0.0016992851283252897,0.0016992851283252897,3.280489646218069,-0.005121340860152812,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2018-03,0.0062591400994445046,0.0062591400994445046,3.301022690508525,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2018-04,-0.000523194977328223,-0.000523194977328223,3.2992956120168047,-0.000523194977328223,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2018-05,0.003373465945442744,0.003373465945442744,3.310425673407892,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2018-06,0.007535795026375247,0.007535795026375247,3.3353723627327443,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
